TL-DOS Lehrstuhlversuch
detector=R1408306
job_number=2015-10-14-001
irradiation_dose [mSv]=5.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	161.921442487	0.0
0.0102	163.277174636	0.0
0.0205	164.641504622	1.0
0.0307	165.98795651	1.0
0.041	167.34294738	2.0
0.0512	168.680182531	1.0
0.0614	170.012855326	4.0
0.0717	171.353979718	4.0
0.0819	172.677530097	2.0
0.0922	174.009474221	5.0
0.1024	175.323964629	2.0
0.1126	176.633970281	1.0
0.1229	177.952283779	5.0
0.1331	179.253322177	2.0
0.1434	180.562611551	4.0
0.1536	181.854744077	2.0
0.1638	183.142468126	0.0
0.1741	184.438358716	4.0
0.1843	185.717268033	1.0
0.1946	187.004287988	0.0
0.2048	188.274442911	1.0
0.215	189.540264341	0.0
0.2253	190.814113408	2.0
0.2355	192.071270033	3.0
0.2458	193.336399344	3.0
0.256	194.584950477	2.0
0.2662	195.829241825	0.0
0.2765	197.081424269	0.0
0.2867	198.317198189	0.0
0.297	199.56080919	0.0
0.3072	200.788123987	1.0
0.3174	202.011251453	0.0
0.3277	203.242135797	0.0
0.3379	204.456890706	1.0
0.3482	205.679349397	0.0
0.3584	206.885789062	1.0
0.3686	208.088112618	0.0
0.3789	209.298061116	0.0
0.3891	210.492154523	1.0
0.3994	211.693820678	1.0
0.4096	212.879740273	0.0
0.4198	214.061613767	0.0
0.4301	215.250982513	0.0
0.4403	216.424765844	0.0
0.4506	217.60599312	0.0
0.4608	218.771741665	1.0
0.471	219.933512929	0.0
0.4813	221.10265196	1.0
0.4915	222.256470663	0.0
0.5018	223.417606701	0.0
0.512	224.563527281	1.0
0.5222	225.705538229	0.0
0.5325	226.854791628	0.0
0.5427	227.988985279	1.0
0.553	229.130371804	0.0
0.5632	230.25680167	0.0
0.5734	231.379388401	0.0
0.5837	232.509094397	0.0
0.5939	233.623996794	0.0
0.6042	234.745969724	0.0
0.6144	235.853240387	0.0
0.6246	236.956733284	0.0
0.6349	238.067224356	0.0
0.6451	239.163163619	0.0
0.6554	240.266053154	0.0
0.6656	241.354490491	0.0
0.6758	242.439214316	0.0
0.6861	243.530817285	1.0
0.6963	244.608115955	0.0
0.7066	245.692246681	0.0
0.7168	246.762171022	0.0
0.727	247.828445015	0.0
0.7373	248.901481146	0.0
0.7475	249.960456276	0.0
0.7578	251.026147257	0.0
0.768	252.077873487	0.0
0.7782	253.126011456	0.0
0.7885	254.180796547	0.0
0.7987	255.221759799	0.0
0.809	256.269324673	0.0
0.8192	257.303162319	0.0
0.8294	258.333472736	2.0
0.8397	259.370317217	0.0
0.8499	260.39357495	0.0
0.8602	261.423322019	1.0
0.8704	262.439575345	0.0
0.8806	263.452361436	1.0
0.8909	264.471570453	1.0
0.9011	265.477423817	0.0
0.9114	266.489656141	0.0
0.9216	267.488624235	1.0
0.9318	268.484184066	1.0
0.9421	269.486057577	0.0
0.9523	270.474802599	0.0
0.9626	271.469818083	2.0
0.9728	272.451794945	0.0
0.983	273.430421514	0.0
0.9933	274.415254376	0.0
1.0035	275.387182048	0.0
1.0138	276.365273529	0.0
1.024	277.330548159	1.0
1.0342	278.292529481	0.0
1.0445	279.260611534	0.0
1.0547	280.216007899	1.0
1.065	281.177463234	1.0
1.0752	282.126319716	1.0
1.0854	283.071938906	2.0
1.0957	284.023555061	0.0
1.1059	284.962701296	1.0
1.1162	285.907803445	0.0
1.1264	286.840521033	0.0
1.1366	287.770056391	1.0
1.1469	288.705486713	1.0
1.1571	289.628659213	1.0
1.1674	290.557686325	1.0
1.1776	291.474539521	0.0
1.1878	292.388264614	1.0
1.1981	293.307784404	0.0
1.2083	294.215254862	2.0
1.2186	295.128480353	1.0
1.2288	296.029738992	1.0
1.239	296.927922732	0.0
1.2493	297.83180261	2.0
1.2595	298.7238381	1.0
1.2698	299.621530736	0.0
1.28	300.507460062	2.0
1.2902	301.390366789	4.0
1.3005	302.278872769	0.0
1.3107	303.155735821	2.0
1.321	304.038159797	3.0
1.3312	304.909020543	2.0
1.3414	305.776910101	3.0
1.3517	306.650303676	1.0
1.3619	307.512252354	3.0
1.3722	308.379667372	0.0
1.3824	309.235715836	3.0
1.3926	310.088843648	2.0
1.4029	310.947381861	3.0
1.4131	311.79466984	2.0
1.4234	312.647331184	5.0
1.4336	313.488819305	2.0
1.4438	314.327436451	1.0
1.4541	315.171371973	3.0
1.4643	316.004248614	4.0
1.4746	316.842407226	1.0
1.4848	317.669582658	8.0
1.495	318.493935947	3.0
1.5053	319.323517152	4.0
1.5155	320.142227575	2.0
1.5258	320.966130129	2.0
1.536	321.779236313	7.0
1.5462	322.589568355	1.0
1.5565	323.405039393	5.0
1.5667	324.209824548	10.0
1.577	325.019713521	10.0
1.5872	325.818989758	7.0
1.5974	326.615539038	4.0
1.6077	327.417139906	5.0
1.6179	328.208236644	8.0
1.6282	329.004350392	9.0
1.6384	329.790031912	11.0
1.6486	330.573032858	9.0
1.6589	331.36099947	5.0
1.6691	332.138640616	6.0
1.6794	332.921213436	8.0
1.6896	333.69353147	18.0
1.6998	334.463214522	11.0
1.7101	335.237778781	12.0
1.7203	336.002193197	7.0
1.7306	336.771455406	17.0
1.7408	337.530637249	9.0
1.751	338.287228929	12.0
1.7613	339.048618792	10.0
1.7715	339.800031448	19.0
1.7818	340.556209443	24.0
1.792	341.302478527	29.0
1.8022	342.046201503	19.0
1.8125	342.794641051	10.0
1.8227	343.533273092	19.0
1.833	344.276589419	22.0
1.8432	345.010165374	26.0
1.8534	345.741238526	29.0
1.8637	346.476948028	36.0
1.8739	347.203016837	20.0
1.8842	347.933690257	31.0
1.8944	348.654788977	33.0
1.9046	349.373427465	41.0
1.9149	350.096623443	32.0
1.9251	350.810342705	43.0
1.9354	351.528588259	37.0
1.9456	352.237421968	50.0
1.9558	352.943837289	41.0
1.9661	353.654732583	53.0
1.9763	354.356312348	40.0
1.9866	355.06234142	58.0
1.9968	355.759118729	58.0
2.007	356.453518785	65.0
2.0173	357.152322615	57.0
2.0275	357.841969362	54.0
2.0378	358.535989738	56.0
2.048	359.220915713	58.0
2.0582	359.903504869	73.0
2.0685	360.590422896	70.0
2.0787	361.26833959	58.0
2.089	361.950555524	78.0
