TL-DOS Lehrstuhlversuch
detector=R1408306
job_number=2015-10-26-009
irradiation_dose [mSv]=10.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	166.880761359	0.0
0.0102	168.256421791	0.0
0.0205	169.640650429	0.0
0.0307	171.006586265	0.0
0.041	172.381029738	2.0
0.0512	173.737309722	0.0
0.0614	175.088810791	3.0
0.0717	176.448729592	3.0
0.0819	177.790676849	0.0
0.0922	179.140982332	0.0
0.1024	180.473443313	1.0
0.1126	181.801209307	2.0
0.1229	183.1372452	2.0
0.1331	184.455625166	0.0
0.1434	185.78221657	5.0
0.1536	187.091276858	2.0
0.1638	188.395724612	0.0
0.1741	189.708297029	2.0
0.1843	191.003523593	0.0
0.1946	192.306817386	1.0
0.2048	193.592887944	0.0
0.215	194.874426974	0.0
0.2253	196.16394798	3.0
0.2355	197.436427762	1.0
0.2458	198.716833096	0.0
0.256	199.98031767	1.0
0.2662	201.239350299	0.0
0.2765	202.506224725	0.0
0.2867	203.756357204	0.0
0.297	205.014276046	0.0
0.3072	206.255571292	1.0
0.3174	207.492492776	0.0
0.3277	208.737118341	0.0
0.3379	209.965295981	0.0
0.3482	211.20112324	0.0
0.3584	212.420618846	0.0
0.3686	213.635817503	0.0
0.3789	214.858584941	0.0
0.3891	216.065193313	0.0
0.3994	217.279316961	0.0
0.4096	218.477395773	0.0
0.4198	219.671253099	0.0
0.4301	220.872546283	0.0
0.4403	222.057964186	0.0
0.4506	223.250765383	0.0
0.4608	224.427803522	0.0
0.471	225.600694314	0.0
0.4813	226.780890375	1.0
0.4915	227.945489957	0.0
0.5018	229.117343167	0.0
0.512	230.273710151	2.0
0.5222	231.426002623	0.0
0.5325	232.585472069	0.0
0.5427	233.729618941	0.0
0.553	234.880892054	0.0
0.5632	236.016950909	0.0
0.5734	237.149006809	0.0
0.5837	238.28811364	0.0
0.5939	239.412166994	1.0
0.6042	240.543221436	0.0
0.6144	241.659328815	0.0
0.6246	242.771503537	0.0
0.6349	243.890605363	0.0
0.6451	244.994918081	0.0
0.6554	246.106108934	0.0
0.6656	247.202615223	0.0
0.6758	248.295257922	0.0
0.6861	249.39470607	0.0
0.6963	250.479624837	0.0
0.7066	251.571300944	1.0
0.7168	252.648550379	1.0
0.727	253.722004076	0.0
0.7373	254.802143705	0.0
0.7475	255.868009117	0.0
0.7578	256.940513198	0.0
0.768	257.998843968	0.0
0.7782	259.05344566	0.0
0.7885	260.114615866	0.0
0.7987	261.161762539	0.0
0.809	262.215431293	0.0
0.8192	263.255175646	0.0
0.8294	264.291256413	1.0
0.8397	265.333790337	1.0
0.8499	266.36254701	1.0
0.8602	267.397711222	0.0
0.8704	268.419195575	0.0
0.8806	269.437080681	0.0
0.8909	270.461305614	0.0
0.9011	271.471995251	0.0
0.9114	272.488979899	0.0
0.9216	273.492524934	0.0
0.9318	274.492533931	1.0
0.9421	275.498771415	0.0
0.9523	276.491711311	0.0
0.9626	277.490835665	0.0
0.9728	278.476756431	1.0
0.983	279.459203261	0.0
0.9933	280.447769192	0.0
1.0035	281.423271068	0.0
1.0138	282.404848789	0.0
1.024	283.373454805	1.0
1.0342	284.338647893	0.0
1.0445	285.30985262	0.0
1.0547	286.268222722	0.0
1.065	287.232561965	1.0
1.0752	288.184157313	1.0
1.0854	289.13239967	0.0
1.0957	290.08654809	1.0
1.1059	291.028087286	0.0
1.1162	291.975490794	0.0
1.1264	292.910374214	2.0
1.1366	293.84196353	0.0
1.1469	294.779355185	2.0
1.1571	295.704359061	3.0
1.1674	296.635124259	2.0
1.1776	297.553589247	3.0
1.1878	298.468817982	2.0
1.1981	299.389747156	3.0
1.2083	300.298506104	2.0
1.2186	301.212925194	2.0
1.2288	302.115260091	4.0
1.239	303.01441557	3.0
1.2493	303.919171376	0.0
1.2595	304.81197069	4.0
1.2698	305.710330743	0.0
1.28	306.596818826	1.0
1.2902	307.480183327	2.0
1.3005	308.369049802	1.0
1.3107	309.246169766	3.0
1.321	310.128752811	0.0
1.3312	310.999672381	2.0
1.3414	311.867523225	4.0
1.3517	312.740779419	5.0
1.3619	313.602495393	6.0
1.3722	314.469578506	1.0
