TL-DOS Lehrstuhlversuch
detector=R1406805
job_number=2015-10-22-008
irradiation_dose [mSv]=3.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	121.505032663	0.0
0.0102	123.431598563	0.0
0.0205	125.368178629	1.0
0.0307	127.277209383	1.0
0.041	129.196163156	0.0
0.0512	131.087818363	2.0
0.0614	132.970887187	2.0
0.0717	134.863744082	2.0
0.0819	136.72967366	2.0
0.0922	138.605302219	0.0
0.1024	140.454248547	2.0
0.1126	142.294802351	2.0
0.1229	144.144923235	0.0
0.1331	145.968724754	2.0
0.1434	147.802006276	3.0
0.1536	149.609207985	2.0
0.1638	151.408206652	0.0
0.1741	153.216556399	4.0
0.1843	154.999181006	1.0
0.1946	156.791071582	0.0
0.2048	158.557471161	2.0
0.215	160.315852904	1.0
0.2253	162.083374602	0.0
0.2355	163.82575197	0.0
0.2458	165.577186103	0.0
0.256	167.303704765	0.0
0.2662	169.022386612	1.0
0.2765	170.750002057	0.0
0.2867	172.453040868	0.0
0.297	174.164931966	0.0
0.3072	175.852470122	0.0
0.3174	177.532348398	0.0
0.3277	179.220958575	0.0
0.3379	180.885546997	1.0
0.3482	182.558787843	0.0
0.3584	184.208225575	0.0
0.3686	185.850176369	0.0
0.3789	187.500661919	0.0
0.3891	189.127668066	0.0
0.3994	190.763131287	0.0
0.4096	192.375328809	0.0
0.4198	193.98020843	0.0
0.4301	195.593430112	0.0
0.4403	197.183702499	0.0
0.4506	198.782241019	1.0
0.4608	200.358039123	0.0
0.471	201.926684545	0.0
0.4813	203.503483686	0.0
0.4915	205.057851669	0.0
0.5018	206.620299157	0.0
0.512	208.160519651	2.0
0.5222	209.693748953	1.0
0.5325	211.234947883	0.0
0.5427	212.754222094	0.0
0.553	214.281393396	0.0
0.5632	215.786839534	0.0
0.5734	217.285452324	0.0
0.5837	218.791854807	0.0
0.5939	220.276827578	0.0
0.6042	221.769519143	0.0
0.6144	223.240976043	0.0
0.6246	224.705753876	0.0
0.6349	226.17814553	1.0
0.6451	227.629591301	0.0
0.6554	229.088581595	0.0
0.6656	230.526816651	0.0
0.6758	231.958523436	0.0
0.6861	233.397672141	0.0
0.6963	234.816347869	0.0
0.7066	236.242397783	0.0
0.7168	237.648161061	0.0
0.727	239.04754346	0.0
0.7373	240.454199759	0.0
0.7475	241.840845311	0.0
0.7578	243.234698558	0.0
0.768	244.60872319	0.0
0.7782	245.976511008	0.0
0.7885	247.351408499	0.0
0.7987	248.706747036	0.0
0.809	250.069130535	0.0
0.8192	251.412133102	0.0
0.8294	252.749039665	0.0
0.8397	254.092895384	0.0
0.8499	255.417633741	0.0
0.8602	256.749258002	1.0
0.8704	258.061938904	0.0
0.8806	259.368661436	1.0
0.8909	260.682176227	0.0
0.9011	261.97700528	0.0
0.9114	263.278564771	0.0
0.9216	264.561608596	0.0
0.9318	265.838828576	0.0
0.9421	267.122687464	0.0
0.9523	268.38828249	0.0
0.9626	269.660455998	1.0
0.9728	270.914531878	0.0
0.983	272.162915402	0.0
0.9933	273.417787942	1.0
