TL-DOS Lehrstuhlversuch
detector=R1408104
job_number=2015-11-05-005
irradiation_dose [mSv]=0.06

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	207.334037623	0.0
0.0102	208.671387199	0.0
0.0205	210.017158817	0.0
0.0307	211.345237087	1.0
0.041	212.681679013	4.0
0.0512	214.000550252	1.0
0.0614	215.314864239	2.0
0.0717	216.6374552	0.0
0.0819	217.942657578	2.0
0.0922	219.256079549	4.0
0.1024	220.552233485	0.0
0.1126	221.843908667	3.0
0.1229	223.143718254	1.0
0.1331	224.426438773	1.0
0.1434	225.717237303	3.0
0.1536	226.991065237	2.0
0.1638	228.260491563	0.0
0.1741	229.53791218	3.0
0.1843	230.798538085	3.0
0.1946	232.067102859	0.0
0.2048	233.318989353	4.0
0.215	234.566550055	1.0
0.2253	235.821967348	0.0
0.2355	237.060879214	3.0
0.2458	238.307593205	0.0
0.256	239.537916195	0.0
0.2662	240.763987904	0.0
0.2765	241.997780876	0.0
0.2867	243.215352724	0.0
0.297	244.440592307	0.0
0.3072	245.64972322	0.0
0.3174	246.85467608	0.0
0.3277	248.067217206	0.0
0.3379	249.263816613	0.0
0.3482	250.46795168	0.0
0.3584	251.656255546	0.0
0.3686	252.840453326	0.0
0.3789	254.032108664	0.0
0.3891	255.208096878	0.0
0.3994	256.39149095	0.0
0.4096	257.559326511	0.0
0.4198	258.723126712	1.0
0.4301	259.894256016	1.0
0.4403	261.049988059	0.0
0.4506	262.212998397	0.0
0.4608	263.360718215	0.0
0.471	264.504472182	0.0
0.4813	265.65542901	0.0
0.4915	266.791253791	0.0
0.5018	267.934231499	1.0
0.512	269.062182065	0.0
0.5222	270.18623509	0.0
0.5325	271.317366909	0.0
0.5427	272.433627327	0.0
0.553	273.556917464	0.0
0.5632	274.665439299	1.0
0.5734	275.770130727	0.0
0.5837	276.881779018	0.0
0.5939	277.978812065	0.0
0.6042	279.082753746	0.0
0.6144	280.172181506	0.0
0.6246	281.257844837	0.0
0.6349	282.3503452	0.0
0.6451	283.428482065	0.0
0.6554	284.513408563	0.0
0.6656	285.58407114	0.0
0.6758	286.651034129	0.0
0.6861	287.724716384	0.0
0.6963	288.784282549	0.0
0.7066	289.850521397	0.0
0.7168	290.902742017	0.0
0.727	291.951326774	0.0
0.7373	293.006515059	0.0
0.7475	294.047830401	0.0
0.7578	295.095703491	0.0
0.768	296.129799813	0.0
0.7782	297.1603229	0.0
0.7885	298.19733577	1.0
0.7987	299.220714656	0.0
0.809	300.250538333	1.0
0.8192	301.266822546	0.0
0.8294	302.279595071	0.0
0.8397	303.298745594	0.0
0.8499	304.304496976	1.0
0.8602	305.316582139	0.0
0.8704	306.315361052	1.0
0.8806	307.310688765	0.0
