TL-DOS Lehrstuhlversuch
detector=R1408303
job_number=2015-10-22-008
irradiation_dose [mSv]=3.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	89.0088521277	0.0
0.0102	91.2981332164	0.0
0.0205	93.5981370614	1.0
0.0307	95.8642621516	0.0
0.041	98.1410015379	1.0
0.0512	100.384204852	4.0
0.0614	102.616089711	2.0
0.0717	104.858428489	1.0
0.0819	107.067737911	2.0
0.0922	109.28739551	0.0
0.1024	111.474357844	0.0
0.1126	113.650285497	1.0
0.1229	115.836404971	1.0
0.1331	117.990323191	2.0
0.1434	120.154330142	2.0
0.1536	122.286461555	2.0
0.1638	124.407834945	0.0
0.1741	126.539144629	1.0
0.1843	128.639060401	1.0
0.1946	130.748811962	1.0
0.2048	132.827487159	1.0
0.215	134.895674056	1.0
0.2253	136.973548126	0.0
0.2355	139.020815385	0.0
0.2458	141.077671831	1.0
0.256	143.104231053	0.0
0.2662	145.120564933	0.0
0.2765	147.146343114	0.0
0.2867	149.142281847	1.0
0.297	151.147569352	0.0
0.3072	153.123319235	1.0
0.3174	155.089100144	0.0
0.3277	157.064088568	0.0
0.3379	159.009985671	0.0
0.3482	160.964997156	0.0
0.3584	162.891211579	0.0
0.3686	164.807706967	0.0
0.3789	166.733179021	0.0
0.3891	168.630289125	0.0
0.3994	170.536285097	0.0
0.4096	172.414205998	1.0
0.4198	174.282651538	0.0
0.4301	176.159848684	1.0
0.4403	178.009394962	0.0
0.4506	179.867604324	0.0
0.4608	181.698442506	0.0
0.471	183.520042891	0.0
0.4813	185.350175463	0.0
0.4915	187.153350423	0.0
0.5018	188.964971268	0.0
0.512	190.749907176	1.0
0.5222	192.525836894	0.0
0.5325	194.310084884	0.0
0.5427	196.068051134	1.0
0.553	197.834251517	0.0
0.5632	199.574436001	0.0
0.5734	201.305840094	0.0
0.5837	203.045353906	0.0
0.5939	204.759244908	0.0
0.6042	206.481163598	1.0
0.6144	208.177718652	0.0
0.6246	209.865713456	1.0
0.6349	211.561614654	0.0
0.6451	213.232535449	0.0
0.6554	214.911282665	0.0
0.6656	216.565302155	0.0
0.6758	218.210976015	0.0
0.6861	219.864358041	0.0
0.6963	221.493385967	0.0
0.7066	223.130044092	0.0
0.7168	224.742594458	0.0
0.727	226.347008433	0.0
0.7373	227.958937318	0.0
0.7475	229.547122702	0.0
0.7578	231.142746982	0.0
0.768	232.714867926	0.0
0.7782	234.279056473	0.0
0.7885	235.850571517	0.0
0.7987	237.398938351	0.0
0.809	238.954557576	0.0
0.8192	240.487262734	0.0
0.8294	242.012234373	0.0
0.8397	243.544348823	1.0
0.8499	245.053895427	0.0
0.8602	246.570512592	0.0
0.8704	248.064790186	1.0
0.8806	249.551528153	0.0
0.8909	251.045229848	1.0
0.9011	252.516929513	0.0
0.9114	253.995522468	0.0
0.9216	255.452335942	0.0
0.9318	256.901798822	0.0
0.9421	258.358050837	0.0
0.9523	259.792852451	0.0
0.9626	261.234374527	1.0
0.9728	262.654663172	0.0
0.983	264.067785515	2.0
0.9933	265.487526778	0.0
1.0035	266.886355438	1.0
1.0138	268.291736067	2.0
1.024	269.676415624	0.0
1.0342	271.054108551	1.0
1.0445	272.438254449	1.0
1.0547	273.802012059	0.0
1.065	275.17215737	0.0
1.0752	276.52212062	0.0
1.0854	277.865272406	1.0
1.0957	279.214715377	3.0
1.1059	280.54428123	1.0
1.1162	281.880074632	0.0
1.1264	283.196191972	0.0
1.1366	284.505668624	2.0
1.1469	285.82127873	3.0
1.1571	287.117510072	0.0
1.1674	288.419812827	1.0
