TL-DOS Lehrstuhlversuch
detector=R1408202
job_number=2015-10-26-008
irradiation_dose [mSv]=0.5

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	188.083249967	0.0
0.0102	189.298497179	0.0
0.0205	190.521816773	0.0
0.0307	191.729466862	1.0
0.041	192.945138868	0.0
0.0512	194.145239327	3.0
0.0614	195.341600986	0.0
0.0717	196.545909579	0.0
0.0819	197.734792178	2.0
0.0922	198.931572029	1.0
0.1024	200.113022323	2.0
0.1126	201.29079192	1.0
0.1229	202.476384952	0.0
0.1331	203.646791717	0.0
0.1434	204.824973008	0.0
0.1536	205.98806297	5.0
0.1638	207.147529435	4.0
0.1741	208.314697754	1.0
0.1843	209.46691581	1.0
0.1946	210.626787571	1.0
0.2048	211.77180253	0.0
0.215	212.913250303	0.0
0.2253	214.062280239	2.0
0.2355	215.196592247	2.0
0.2458	216.338439017	2.0
0.256	217.465659868	0.0
0.2662	218.589368969	0.0
0.2765	219.720542402	0.0
0.2867	220.83722663	0.0
0.297	221.961328527	0.0
0.3072	223.071031799	0.0
0.3174	224.177277895	1.0
0.3277	225.290872324	0.0
0.3379	226.390202718	0.0
0.3482	227.496835506	0.0
0.3584	228.58929343	0.0
0.3686	229.678347906	1.0
0.3789	230.774636517	0.0
0.3891	231.856882764	0.0
0.3994	232.946317922	0.0
0.4096	234.021798501	0.0
0.4198	235.093928522	0.0
0.4301	236.173180257	0.0
0.4403	237.238607852	0.0
0.4506	238.31111264	0.0
0.4608	239.36987971	0.0
0.471	240.425348291	1.0
0.4813	241.487827911	0.0
0.4915	242.536698226	0.0
0.5018	243.59253575	0.0
0.512	244.634849047	0.0
0.5222	245.673915116	0.0
0.5325	246.719883268	0.0
0.5427	247.75245361	0.0
0.553	248.791882888	0.0
0.5632	249.817998112	0.0
0.5734	250.840916572	0.0
0.5837	251.870629853	0.0
0.5939	252.887153533	0.0
0.6042	253.910429557	1.0
0.6144	254.920598434	0.0
0.6246	255.927620226	0.0
0.6349	256.941331245	0.0
0.6451	257.942057635	0.0
0.6554	258.949431435	0.0
0.6656	259.94390178	0.0
0.6758	260.935273947	1.0
0.6861	261.933231387	0.0
0.6963	262.918405986	0.0
0.7066	263.91012469	1.0
0.7168	264.889140466	1.0
0.727	265.86510621	0.0
0.7373	266.84755489	0.0
0.7475	267.81741938	0.0
0.7578	268.793726277	1.0
0.768	269.757527654	1.0
0.7782	270.718326401	0.0
0.7885	271.685507333	0.0
0.7987	272.640299641	0.0
0.809	273.601434238	0.0
0.8192	274.550257658	0.0
0.8294	275.496125108	0.0
0.8397	276.448275562	1.0
0.8499	277.388229918	0.0
0.8602	278.334427999	0.0
0.8704	279.268506226	0.0
0.8806	280.19967442	0.0
0.8909	281.137027978	0.0
0.9011	282.06237497	0.0
0.9114	282.993868657	0.0
0.9216	283.913430838	0.0
0.9318	284.830128211	0.0
0.9421	285.752914822	0.0
0.9523	286.663881457	1.0
0.9626	287.580899263	0.0
0.9728	288.486170986	1.0
0.983	289.38862242	0.0
0.9933	290.297068463	0.0
1.0035	291.193878218	0.0
1.0138	292.096645107	0.0
1.024	292.987848451	0.0
1.0342	293.876275336	0.0
1.0445	294.770603671	0.0
1.0547	295.653476551	1.0
1.065	296.542213989	0.0
1.0752	297.419567585	1.0
1.0854	298.294187869	1.0
1.0957	299.174617892	0.0
1.1059	300.043770483	0.0
1.1162	300.918696494	0.0
1.1264	301.782415574	0.0
1.1366	302.643443819	0.0
1.1469	303.510191516	1.0
1.1571	304.365837039	0.0
1.1674	305.227166259	0.0
1.1776	306.07746271	0.0
1.1878	306.925110143	0.0
1.1981	307.778388146	0.0
1.2083	308.620736507	0.0
1.2186	309.468680238	0.0
1.2288	310.305762654	2.0
1.239	311.14023722	0.0
1.2493	311.980254853	0.0
1.2595	312.809512697	0.0
1.2698	313.644278955	0.0
1.28	314.46835269	1.0
1.2902	315.289859101	0.0
1.3005	316.116822438	1.0
1.3107	316.933193197	0.0
1.321	317.754986769	0.0
1.3312	318.566253983	1.0
1.3414	319.374993771	0.0
1.3517	320.189105681	0.0
1.3619	320.992789629	0.0
1.3722	321.801812115	0.0
1.3824	322.600471829	1.0
1.3926	323.396643394	0.0
1.4029	324.198103595	2.0
1.4131	324.98929789	1.0
1.4234	325.78574776	1.0
1.4336	326.5719959	0.0
1.4438	327.355794558	0.0
1.4541	328.144799665	1.0
1.4643	328.923698403	2.0
1.4746	329.707771041	1.0
1.4848	330.481800489	1.0
1.495	331.253418522	1.0
1.5053	332.030162093	0.0
1.5155	332.796956353	1.0
1.5258	333.568844107	0.0
1.536	334.330844749	1.0
1.5462	335.09047145	0.0
1.5565	335.855144035	2.0
1.5667	336.610021926	2.0
1.577	337.369914156	0.0
1.5872	338.120072925	0.0
1.5974	338.867894644	0.0
1.6077	339.620683833	1.0
1.6179	340.363830542	2.0
1.6282	341.111913665	2.0
1.6384	341.850414589	1.0
1.6486	342.586614783	2.0
1.6589	343.327705248	2.0
1.6691	344.059303084	4.0
1.6794	344.795760619	1.0
1.6896	345.522784867	3.0
1.6998	346.247544139	2.0
1.7101	346.977117687	4.0
1.7203	347.697346123	1.0
1.7306	348.422358738	2.0
1.7408	349.138084664	1.0
1.751	349.851580813	2.0
1.7613	350.56981642	3.0
1.7715	351.278852145	3.0
1.7818	351.992597699	2.0
1.792	352.697200883	4.0
1.8022	353.399608943	4.0
1.8125	354.106682808	4.0
1.8227	354.804699761	3.0
1.833	355.50735335	2.0
1.8432	356.201006646	3.0
1.8534	356.892498932	6.0
1.8637	357.588584513	7.0
1.8739	358.275753931	5.0
1.8842	358.96748793	9.0
1.8944	359.650361506	2.0
1.9046	360.331107653	6.0
1.9149	361.016375714	4.0
1.9251	361.692866174	6.0
1.9354	362.373850279	5.0
1.9456	363.046111655	10.0
1.9558	363.716278666	10.0
1.9661	364.390897316	5.0
1.9763	365.056874774	1.0
1.9866	365.727276043	9.0
1.9968	366.38909014	7.0
2.007	367.048842418	10.0
2.0173	367.712977155	11.0
2.0275	368.368604988	9.0
2.0378	369.028587885	6.0
2.048	369.680117057	11.0
2.0582	370.329616453	8.0
2.0685	370.983430202	8.0
2.0787	371.628869249	17.0
2.089	372.278595679	11.0
2.0992	372.919999761	19.0
2.1094	373.559405609	12.0
2.1197	374.203058764	16.0
2.1299	374.838467364	13.0
2.1402	375.478096718	18.0
2.1504	376.109533058	19.0
2.1606	376.739002217	12.0
2.1709	377.372652679	19.0
2.1811	377.998186709	25.0
2.1914	378.627875902	21.0
2.2016	379.249499403	16.0
2.2118	379.869186295	21.0
2.2221	380.49298951	19.0
2.2323	381.108802426	25.0
2.2426	381.728705932	20.0
2.2528	382.340669091	24.0
2.263	382.950725738	34.0
2.2733	383.564834736	38.0
2.2835	384.171077611	25.0
2.2938	384.781347504	28.0
2.304	385.383800448	33.0
2.3142	385.984376507	39.0
2.3245	386.588941944	34.0
2.3347	387.185763499	49.0
2.345	387.786549491	34.0
2.3552	388.379640013	55.0
2.3654	388.970882818	42.0
2.3757	389.566053003	33.0
2.3859	390.153599651	50.0
2.3962	390.745049127	56.0
2.4064	391.328922725	63.0
2.4166	391.910977319	47.0
2.4269	392.49689826	44.0
2.4371	393.075314137	51.0
2.4474	393.657572191	46.0
2.4576	394.232372099	59.0
2.4678	394.805381272	60.0
2.4781	395.382196707	60.0
2.4883	395.951623711	60.0
2.4986	396.524833181	56.0
2.5088	397.09070041	51.0
2.519	397.654804732	56.0
2.5293	398.222656165	70.0
2.5395	398.783233987	64.0
2.5498	399.347535494	69.0
2.56	399.904608861	67.0
2.5702	400.459946718	49.0
2.5805	401.018973454	86.0
2.5907	401.570839615	74.0
2.601	402.126371593	85.0
2.6112	402.674787759	84.0
2.6214	403.221495387	70.0
2.6317	403.771834566	68.0
2.6419	404.315124449	58.0
2.6522	404.862023181	64.0
2.6624	405.401916684	74.0
2.6726	405.9401282	87.0
2.6829	406.481914832	61.0
2.6931	407.016761717	81.0
2.7034	407.555161367	84.0
2.7136	408.086664654	77.0
2.7238	408.616512092	71.0
2.7341	409.149879087	75.0
2.7443	409.676414182	66.0
2.7546	410.206446831	73.0
2.7648	410.729690289	66.0
2.775	411.251303633	69.0
2.7853	411.776381836	72.0
2.7955	412.294734311	67.0
2.8058	412.816529986	52.0
2.816	413.331641978	58.0
2.8262	413.845149187	67.0
2.8365	414.362067411	46.0
2.8467	414.872364428	45.0
2.857	415.386051135	49.0
