TL-DOS Lehrstuhlversuch
detector=R1406805
job_number=2015-10-23-002
irradiation_dose [mSv]=4.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	147.694800076	0.0
0.0102	149.30218796	0.0
0.0205	150.919003999	0.0
0.0307	152.513878119	2.0
0.041	154.118106994	3.0
0.0512	155.70056477	3.0
0.0614	157.276880718	1.0
0.0717	158.862442569	1.0
0.0819	160.426486653	0.0
0.0922	161.999704658	2.0
0.1024	163.551572415	0.0
0.1126	165.09741707	2.0
0.1229	166.652328898	3.0
0.1331	168.186138912	0.0
0.1434	169.72894551	2.0
0.1536	171.250814574	1.0
0.1638	172.766776968	2.0
0.1741	174.291631259	0.0
0.1843	175.79579165	0.0
0.1946	177.308774713	0.0
0.2048	178.801224981	2.0
0.215	180.287882757	1.0
0.2253	181.783260545	1.0
0.2355	183.25834446	2.0
0.2458	184.742080499	0.0
0.256	186.205680656	1.0
0.2662	187.663600295	0.0
0.2765	189.130071381	0.0
0.2867	190.576640889	0.0
0.297	192.03169527	0.0
0.3072	193.467003009	0.0
0.3174	194.896740038	0.0
0.3277	196.334863209	0.0
0.3379	197.753469513	0.0
0.3482	199.180396672	0.0
0.3584	200.587958905	0.0
0.3686	201.990058115	0.0
0.3789	203.400381356	0.0
0.3891	204.791565005	0.0
0.3994	206.19090866	0.0
0.4096	207.571261728	0.0
0.4198	208.946257376	0.0
0.4301	210.32931808	0.0
0.4403	211.693609173	0.0
0.4506	213.065902533	0.0
0.4608	214.419572408	0.0
0.471	215.767988425	0.0
0.4813	217.124313595	0.0
0.4915	218.462231984	0.0
0.5018	219.807997951	0.0
0.512	221.135500437	0.0
0.5222	222.457850627	0.0
0.5325	223.78795708	0.0
0.5427	225.100012567	0.0
0.553	226.419763934	0.0
0.5632	227.721604866	0.0
0.5734	229.018393099	0.0
0.5837	230.32278766	0.0
0.5939	231.609480195	0.0
0.6042	232.903719842	0.0
0.6144	234.180395275	0.0
0.6246	235.452115681	0.0
0.6349	236.731295381	0.0
0.6451	237.993115246	0.0
0.6554	239.262336333	0.0
0.6656	240.514332734	0.0
0.6758	241.761469892	0.0
0.6861	243.015922151	0.0
0.6963	244.253350153	0.0
0.7066	245.498036305	0.0
0.7168	246.725830737	1.0
0.727	247.94885986	0.0
0.7373	249.179062676	0.0
0.7475	250.392570326	0.0
0.7578	251.613195822	0.0
0.768	252.817256127	0.0
0.7782	254.016643238	0.0
0.7885	255.223065371	0.0
0.7987	256.413115067	0.0
0.809	257.610145015	0.0
0.8192	258.790929989	0.0
