TL-DOS Lehrstuhlversuch
detector=R1408205
job_number=2015-10-22-006
irradiation_dose [mSv]=5.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	120.964275975	0.0
0.0102	122.803774385	0.0
0.0205	124.653312583	4.0
0.0307	126.477011225	0.0
0.041	128.310663424	1.0
0.0512	130.118698006	4.0
0.0614	131.918988961	1.0
0.0717	133.729105716	0.0
0.0819	135.513933664	1.0
0.0922	137.308503015	3.0
0.1024	139.078000771	3.0
0.1126	140.839919948	0.0
0.1229	142.611455495	3.0
0.1331	144.358241247	2.0
0.1434	146.114560772	3.0
0.1536	147.846343082	4.0
0.1638	149.570708345	2.0
0.1741	151.304485013	1.0
0.1843	153.014039408	1.0
0.1946	154.732924371	2.0
0.2048	156.42779511	5.0
0.215	158.115406892	0.0
0.2253	159.812229481	0.0
0.2355	161.485346076	2.0
0.2458	163.167594365	1.0
0.256	164.826340275	0.0
0.2662	166.477981946	0.0
0.2765	168.138638104	0.0
0.2867	169.776093541	0.0
0.297	171.422486039	0.0
0.3072	173.045877092	0.0
0.3174	174.662315326	0.0
0.3277	176.287575911	0.0
0.3379	177.890130281	0.0
0.3482	179.501431225	0.0
0.3584	181.090220981	0.0
0.3686	182.672206113	0.0
0.3789	184.262825554	0.0
0.3891	185.831222744	0.0
0.3994	187.408180083	0.0
0.4096	188.963106042	0.0
0.4198	190.511372411	0.0
0.4301	192.068089057	1.0
0.4403	193.603057102	0.0
0.4506	195.146402841	0.0
0.4608	196.668186783	0.0
0.471	198.18345308	0.0
0.4813	199.706989541	0.0
0.4915	201.209240956	0.0
0.5018	202.719691501	0.0
0.512	204.209039822	0.0
0.5222	205.692009416	0.0
0.5325	207.183072902	0.0
0.5427	208.653305016	0.0
0.553	210.131561502	0.0
0.5632	211.589165541	0.0
0.5734	213.040526811	0.0
0.5837	214.499809458	1.0
0.5939	215.938704737	0.0
0.6042	217.385453356	0.0
0.6144	218.811989717	0.0
0.6246	220.232416369	0.0
0.6349	221.660595561	1.0
0.6451	223.068821925	1.0
0.6554	224.484734241	3.0
0.6656	225.880865108	0.0
0.6758	227.271016489	1.0
0.6861	228.66875517	0.0
0.6963	230.046966303	0.0
0.7066	231.432699568	0.0
0.7168	232.79907301	0.0
0.727	234.159594413	0.0
0.7373	235.5275414	0.0
0.7475	236.876377053	1.0
0.7578	238.232574509	0.0
0.768	239.569824781	0.0
0.7782	240.901347747	0.0
0.7885	242.240138025	0.0
0.7987	243.560224313	0.0
0.809	244.887515492	1.0
0.8192	246.196263332	1.0
0.8294	247.499405939	0.0
0.8397	248.809660962	0.0
0.8499	250.101610654	0.0
0.8602	251.400611672	0.0
0.8704	252.681464586	0.0
0.8806	253.956831739	0.0
0.8909	255.239159712	1.0
0.9011	256.503572518	0.0
0.9114	257.774886356	2.0
0.9216	259.028438904	1.0
0.9318	260.276622615	0.0
0.9421	261.531618781	1.0
0.9523	262.769081628	0.0
0.9626	264.013298417	0.0
0.9728	265.240132484	2.0
0.983	266.461712146	0.0
0.9933	267.689959061	0.0
1.0035	268.901046366	0.0
1.0138	270.118743658	0.0
1.024	271.319428727	2.0
1.0342	272.514971384	1.0
1.0445	273.717039188	1.0
1.0547	274.902313124	0.0
1.065	276.094056162	0.0
1.0752	277.269149578	1.0
1.0854	278.439210189	0.0
1.0957	279.615656868	0.0
1.1059	280.775667628	1.0
1.1162	281.942009605	1.0
1.1264	283.092056834	2.0
1.1366	284.237178529	1.0
1.1469	285.388550177	1.0
1.1571	286.523836225	0.0
1.1674	287.665318545	0.0
1.1776	288.790853427	0.0
1.1878	289.911567758	0.0
1.1981	291.03839883	1.0
1.2083	292.149487154	0.0
1.2186	293.266639681	0.0
1.2288	294.368184677	1.0
1.239	295.465011869	0.0
1.2493	296.567825428	0.0
1.2595	297.655231782	1.0
1.2698	298.748573087	2.0
1.28	299.826639522	2.0
1.2902	300.900088709	2.0
1.3005	301.97939667	1.0
1.3107	303.043625818	5.0
1.321	304.113663417	3.0
1.3312	305.168751719	1.0
1.3414	306.219321186	2.0
1.3517	307.27562455	3.0
1.3619	308.317170496	1.0
1.3722	309.36440109	0.0
1.3824	310.397001019	4.0
1.3926	311.425178428	1.0
1.4029	312.458967522	3.0
1.4131	313.478313739	2.0
1.4234	314.503223441	2.0
1.4336	315.513814319	5.0
1.4438	316.52007694	11.0
1.4541	317.531831637	5.0
1.4643	318.529451295	4.0
1.4746	319.532515858	3.0
1.4848	320.521566791	13.0
1.495	321.506381719	2.0
1.5053	322.496571665	3.0
1.5155	323.472927849	8.0
1.5258	324.454612884	6.0
1.536	325.422582978	5.0
1.5462	326.386407356	8.0
1.5565	327.355492185	6.0
1.5667	328.31103811	6.0
1.577	329.271799304	9.0
1.5872	330.219137881	10.0
1.5974	331.162419104	15.0
1.6077	332.110848657	15.0
1.6179	333.046027876	12.0
1.6282	333.986311205	13.0
