TL-DOS Lehrstuhlversuch
detector=R1408104
job_number=2015-11-17-002
irradiation_dose [mSv]=0.05

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	243.97751879	0.0
0.0102	245.104384104	0.0
0.0205	246.238798841	0.0
0.0307	247.358746165	0.0
0.041	248.486196565	3.0
0.0512	249.599268368	2.0
0.0614	250.708934923	4.0
0.0717	251.826035678	3.0
0.0819	252.928889828	3.0
0.0922	254.039132539	1.0
0.1024	255.135216107	2.0
0.1126	256.227946398	2.0
0.1229	257.327997426	4.0
0.1331	258.414019287	2.0
0.1434	259.507316941	1.0
0.1536	260.586671555	1.0
0.1638	261.662724072	2.0
0.1741	262.745985593	1.0
0.1843	263.815432067	0.0
0.1946	264.892043288	4.0
0.2048	265.954924274	3.0
0.215	267.014553561	0.0
0.2253	268.081281825	3.0
0.2355	269.134405894	2.0
0.2458	270.194585357	2.0
0.256	271.241244144	0.0
0.2662	272.284700861	2.0
0.2765	273.335148206	1.0
0.2867	274.37219899	0.0
0.297	275.416197486	2.0
0.3072	276.446881663	0.0
0.3174	277.474412643	1.0
0.3277	278.508827557	1.0
0.3379	279.530050374	0.0
0.3482	280.558114864	0.0
0.3584	281.573068245	0.0
0.3686	282.584916554	0.0
0.3789	283.603543731	0.0
0.3891	284.609180156	0.0
0.3994	285.621553832	0.0
0.4096	286.621016508	0.0
0.4198	287.617421502	0.0
0.4301	288.620501903	0.0
0.4403	289.610789821	0.0
0.4506	290.607712165	0.0
0.4608	291.591920561	1.0
0.471	292.573117945	0.0
0.4813	293.560888851	0.0
0.4915	294.53606252	0.0
0.5018	295.517769356	0.0
0.512	296.486956292	1.0
0.5222	297.45317817	1.0
0.5325	298.425873243	0.0
0.5427	299.386163344	0.0
0.553	300.352886899	0.0
0.5632	301.307281639	0.0
0.5734	302.258756575	1.0
0.5837	303.216605909	0.0
0.5939	304.162239601	0.0
0.6042	305.114208558	0.0
0.6144	306.054036867	0.0
0.6246	306.990989936	0.0
