TL-DOS Lehrstuhlversuch
detector=R1407205
job_number=2015-11-05-008
irradiation_dose [mSv]=0.07

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	174.386885014	0.0
0.0102	175.807902714	0.0
0.0205	177.237532718	0.0
0.0307	178.648034716	2.0
0.041	180.067085286	2.0
0.0512	181.467149399	1.0
0.0614	182.862048841	1.0
0.0717	184.265402294	1.0
0.0819	185.649979312	0.0
0.0922	187.042947781	3.0
0.1024	188.417278763	0.0
0.1126	189.78654	1.0
0.1229	191.164099864	2.0
0.1331	192.523228404	3.0
0.1434	193.890594158	3.0
0.1536	195.239664983	0.0
0.1638	196.583759245	1.0
0.1741	197.935999605	0.0
0.1843	199.270147408	3.0
0.1946	200.612381027	0.0
0.2048	201.936655975	1.0
0.215	203.25604583	2.0
0.2253	204.583432058	1.0
0.2355	205.893058269	1.0
0.2458	207.210621679	1.0
0.256	208.510556498	1.0
0.2662	209.805696012	0.0
0.2765	211.108684926	0.0
0.2867	212.394240251	0.0
0.297	213.68758689	0.0
0.3072	214.963628951	0.0
0.3174	216.234963845	0.0
0.3277	217.514003866	0.0
0.3379	218.775930728	0.0
0.3482	220.045505699	0.0
0.3584	221.29809415	1.0
0.3686	222.546061951	0.0
0.3789	223.80159326	0.0
0.3891	225.040325949	0.0
0.3994	226.286566175	0.0
0.4096	227.516132092	0.0
0.4198	228.741162287	1.0
0.4301	229.973616973	0.0
0.4403	231.189581797	0.0
0.4506	232.412916169	0.0
0.4608	233.619882707	1.0
0.471	234.822396888	0.0
0.4813	236.032199098	0.0
0.4915	237.225814529	0.0
0.5018	238.426664057	0.0
0.512	239.611446591	0.0
0.5222	240.791858602	0.0
0.5325	241.979424688	0.0
0.5427	243.151101508	0.0
0.553	244.329879462	0.0
0.5632	245.492885732	0.0
0.5734	246.65160181	0.0
0.5837	247.817340472	1.0
0.5939	248.967481911	0.0
0.6042	250.124593967	0.0
0.6144	251.266224221	1.0
0.6246	252.403643137	0.0
0.6349	253.547955561	0.0
0.6451	254.676957439	0.0
0.6554	255.812801814	0.0
0.6656	256.933448943	0.0
0.6758	258.049962137	0.0
0.6861	259.173242137	0.0
0.6963	260.281493	0.0
0.7066	261.396460593	0.0
0.7168	262.496510265	0.0
0.727	263.592501985	0.0
0.7373	264.695136137	0.0
0.7475	265.783017385	0.0
0.7578	266.877491912	0.0
0.768	267.957322708	0.0
0.7782	269.033170137	0.0
0.7885	270.11553791	1.0
0.7987	271.183423938	0.0
0.809	272.25778206	0.0
0.8192	273.317765602	0.0
0.8294	274.373838991	0.0
0.8397	275.436312882	0.0
0.8499	276.4845712	0.0
0.8602	277.539182656	0.0
0.8704	278.579683737	0.0
0.8806	279.616346533	0.0
0.8909	280.659292189	0.0
0.9011	281.688283555	1.0
0.9114	282.723511288	1.0
0.9216	283.744887994	0.0
0.9318	284.762496962	1.0
0.9421	285.786273312	0.0
0.9523	286.796351852	0.0
0.9626	287.812552134	0.0
0.9728	288.81515597	0.0
0.983	289.81406132	0.0
0.9933	290.819020695	1.0
1.0035	291.810534026	0.0
1.0138	292.80805658	0.0
1.024	293.792232592	0.0
1.0342	294.772778096	0.0
1.0445	295.759266351	0.0
1.0547	296.7325557	0.0
1.065	297.711743824	0.0
1.0752	298.677830714	0.0
1.0854	299.640353824	0.0
1.0957	300.608710459	1.0
1.1059	301.564110782	0.0
1.1162	302.525301461	0.0
1.1264	303.473631707	0.0
1.1366	304.418463675	0.0
1.1469	305.369021947	0.0
1.1571	306.306862045	0.0
1.1674	307.250386071	0.0
1.1776	308.181286039	0.0
1.1878	309.108752027	1.0
1.1981	310.041839071	2.0
1.2083	310.962441699	0.0
1.2186	311.888623786	1.0
1.2288	312.802413844	0.0
1.239	313.712833038	0.0
1.2493	314.628769973	0.0
1.2595	315.532451956	0.0
1.2698	316.441610847	0.0
1.28	317.338605475	0.0
1.2902	318.232291195	0.0
1.3005	319.13139324	2.0
1.3107	320.018465578	0.0
1.321	320.91091416	0.0
1.3312	321.791422056	0.0
1.3414	322.668681863	1.0
1.3517	323.551258443	0.0
1.3619	324.422026422	0.0
1.3722	325.298071829	1.0
1.3824	326.16239602	0.0
1.3926	327.023531821	0.0
1.4029	327.889886673	0.0
1.4131	328.744649965	0.0
1.4234	329.604593687	0.0
1.4336	330.453031629	0.0
1.4438	331.298339783	0.0
1.4541	332.148771062	0.0
1.4643	332.987823834	0.0
1.4746	333.831961819	0.0
1.4848	334.6648055	0.0
1.495	335.494576919	1.0
1.5053	336.3293773	0.0
1.5155	337.15300831	0.0
1.5258	337.981631068	0.0
1.536	338.799167109	0.0
1.5462	339.613687358	1.0
1.5565	340.433144136	0.0
1.5667	341.241636836	2.0
1.577	342.055029535	1.0
1.5872	342.857539292	3.0
1.5974	343.657088685	1.0
1.6077	344.461483875	1.0
1.6179	345.255116507	1.0
1.6282	346.053559076	0.0
1.6384	346.841318731	0.0
1.6486	347.626172433	1.0
1.6589	348.415782867	2.0
1.6691	349.194828557	2.0
1.6794	349.978595779	1.0
1.6896	350.751876437	1.0
1.6998	351.522304555	1.0
1.7101	352.297401976	0.0
1.7203	353.062128833	1.0
1.7306	353.831490439	0.0
1.7408	354.590558225	0.0
1.751	355.3468259	1.0
1.7613	356.107677056	0.0
1.7715	356.85834826	1.0
1.7818	357.613569025	0.0
1.792	358.358685171	1.0
1.8022	359.101052672	1.0
1.8125	359.84791941	1.0
1.8227	360.584793301	0.0
1.833	361.326133135	2.0
1.8432	362.057554071	0.0
1.8534	362.786276882	2.0
1.8637	363.519416234	0.0
1.8739	364.242746409	1.0
1.8842	364.970460441	0.0
1.8944	365.688437886	2.0
1.9046	366.403766796	2.0
1.9149	367.123431071	3.0
1.9251	367.833466462	5.0
1.9354	368.547805135	2.0
1.9456	369.252586178	2.0
1.9558	369.954767367	1.0
1.9661	370.661204237	1.0
1.9763	371.358189201	0.0
1.9866	372.059398353	3.0
1.9968	372.751225544	1.0
2.007	373.440500667	2.0
2.0173	374.133953251	4.0
2.0275	374.818127655	5.0
2.0378	375.506448607	1.0
2.048	376.185560038	3.0
2.0582	376.862166307	6.0
2.0685	377.542873256	4.0
2.0787	378.214472557	4.0
2.089	378.890142193	6.0
2.0992	379.556771578	6.0
2.1094	380.220941847	5.0
