TL-DOS Lehrstuhlversuch
detector=R1406805
job_number=2015-10-20-012
irradiation_dose [mSv]=2.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	149.461325871	0.0
0.0102	151.020909592	0.0
0.0205	152.589654207	0.0
0.0307	154.13712224	4.0
0.041	155.693680001	0.0
0.0512	157.229126467	1.0
0.0614	158.75862631	0.0
0.0717	160.297110336	4.0
0.0819	161.814728199	2.0
0.0922	163.341260451	1.0
0.1024	164.847088638	1.0
0.1126	166.347084911	3.0
0.1229	167.855892065	1.0
0.1331	169.344235558	2.0
0.1434	170.841321484	1.0
0.1536	172.31810272	1.0
0.1638	173.789164538	1.0
0.1741	175.268867277	4.0
0.1843	176.728501093	2.0
0.1946	178.196708703	2.0
0.2048	179.645003295	0.0
0.215	181.087688794	2.0
0.2253	182.538848534	3.0
0.2355	183.970326473	3.0
0.2458	185.410212821	0.0
0.256	186.830570267	0.0
0.2662	188.245426817	1.0
0.2765	189.668594143	0.0
0.2867	191.072459324	0.0
0.297	192.484570719	0.0
0.3072	193.877529917	0.0
0.3174	195.26509433	0.0
0.3277	196.660809207	0.0
0.3379	198.037594271	0.0
0.3482	199.422466482	0.0
0.3584	200.788555936	1.0
0.3686	202.149354669	1.0
0.3789	203.518146646	0.0
0.3891	204.86837396	0.0
0.3994	206.226532422	0.0
0.4096	207.566270442	0.0
0.4198	208.900819796	0.0
0.4301	210.243208207	0.0
0.4403	211.567390062	0.0
0.4506	212.899350075	0.0
0.4608	214.21324497	0.0
0.471	215.522051288	1.0
0.4813	216.83854545	0.0
0.4915	218.137184254	0.0
0.5018	219.443451179	1.0
0.512	220.732001455	0.0
0.5222	222.015561312	1.0
0.5325	223.306660716	0.0
0.5427	224.580249187	0.0
0.553	225.861318634	0.0
0.5632	227.125013182	0.0
0.5734	228.383813574	0.0
0.5837	229.650008078	0.0
0.5939	230.899029428	0.0
0.6042	232.15538745	0.0
0.6144	233.394705728	1.0
0.6246	234.629224257	0.0
0.6349	235.870994268	0.0
0.6451	237.09592239	0.0
0.6554	238.328045661	0.0
0.6656	239.543457881	0.0
0.6758	240.754162936	0.0
0.6861	241.971979595	0.0
0.6963	243.17327924	0.0
0.7066	244.381635241	0.0
0.7168	245.573602542	0.0
0.727	246.760953478	1.0
0.7373	247.955278838	0.0
0.7475	249.133405791	0.0
0.7578	250.318452986	0.0
0.768	251.487427614	0.0
0.7782	252.651874925	0.0
0.7885	253.823162124	0.0
0.7987	254.97856338	6.0
0.809	256.140751388	0.0
0.8192	257.287176863	0.0
0.8294	258.429162353	0.0
0.8397	259.577855791	1.0
0.8499	260.710969721	1.0
0.8602	261.850739489	1.0
0.8704	262.975050778	0.0
