TL-DOS Lehrstuhlversuch
detector=R1408201
job_number=2015-10-23-001
irradiation_dose [mSv]=4.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	170.003523947	0.0
0.0102	172.232408023	0.0
0.0205	174.469370817	0.0
0.0307	176.671059488	0.0
0.041	178.880728305	2.0
0.0512	181.055553392	2.0
0.0614	183.217134573	1.0
0.0717	185.38655053	2.0
0.0819	187.521757493	0.0
0.0922	189.664703636	1.0
0.1024	191.773858181	1.0
0.1126	193.870168732	2.0
0.1229	195.974077481	0.0
0.1331	198.044810203	3.0
0.1434	200.123048415	1.0
0.1536	202.168515393	0.0
0.1638	204.20152621	2.0
0.1741	206.241905792	2.0
0.1843	208.250111124	1.0
0.1946	210.26559531	0.0
0.2048	212.249297816	0.0
0.215	214.220920286	0.0
0.2253	216.199689014	0.0
0.2355	218.147255018	0.0
0.2458	220.101880087	0.0
0.256	222.025683147	0.0
0.2662	223.937770937	0.0
0.2765	225.856789199	0.0
0.2867	227.745546927	0.0
0.297	229.641150567	0.0
0.3072	231.506862892	0.0
0.3174	233.361213699	0.0
0.3277	235.222285707	0.0
0.3379	237.054010922	1.0
0.3482	238.89237533	0.0
0.3584	240.701751015	0.0
0.3686	242.500108252	0.0
0.3789	244.304983738	0.0
0.3891	246.081398581	0.0
0.3994	247.86425214	0.0
0.4096	249.618992315	0.0
0.4198	251.363046752	0.0
0.4301	253.113422614	0.0
0.4403	254.836197223	0.0
0.4506	256.565216128	0.0
0.4608	258.266970554	0.0
0.471	259.958361906	0.0
0.4813	261.655883802	0.0
0.4915	263.326637888	0.0
0.5018	265.003447718	0.0
0.512	266.65381634	0.0
0.5222	268.29413481	0.0
0.5325	269.940398708	0.0
0.5427	271.56070307	0.0
0.553	273.186880319	0.0
0.5632	274.787414772	1.0
0.5734	276.378202546	0.0
0.5837	277.97475622	0.0
0.5939	279.546134228	0.0
0.6042	281.123207785	0.0
0.6144	282.675412852	0.0
0.6246	284.218165547	0.0
0.6349	285.766510037	3.0
0.6451	287.290439059	0.0
0.6554	288.819891649	1.0
0.6656	290.325226673	0.0
0.6758	291.821394746	0.0
0.6861	293.322985766	0.0
0.6963	294.800898562	1.0
0.7066	296.284168137	1.0
0.7168	297.744048395	0.0
0.727	299.195038505	1.0
0.7373	300.651287812	0.0
0.7475	302.084573878	2.0
0.7578	303.523054971	2.0
0.768	304.938853005	1.0
0.7782	306.346029336	1.0
0.7885	307.758306059	1.0
0.7987	309.148312933	3.0
0.809	310.543357967	1.0
0.8192	311.916404874	4.0
0.8294	313.281090418	4.0
0.8397	314.650722343	6.0
0.8499	315.998756874	8.0
0.8602	317.351677434	3.0
0.8704	318.683264118	6.0
0.8806	320.006741917	6.0
0.8909	321.335016737	5.0
0.9011	322.642346314	3.0
0.9114	323.954414382	8.0
0.9216	325.245792767	5.0
0.9318	326.529307121	11.0
0.9421	327.817473646	16.0
0.9523	329.085327386	14.0
0.9626	330.357776534	17.0
0.9728	331.610160741	14.0
0.983	332.854918377	13.0
0.9933	334.104187709	17.0
1.0035	335.333757615	22.0
1.0138	336.567784168	25.0
1.024	337.782351657	15.0
1.0342	338.989522864	22.0
1.0445	340.201069533	27.0
1.0547	341.393511617	41.0
1.065	342.590275775	36.0
1.0752	343.76816845	38.0
1.0854	344.938888181	39.0
1.0957	346.113851253	39.0
1.1059	347.270286617	36.0
1.1162	348.430913548	49.0
1.1264	349.573238834	45.0
1.1366	350.708607769	56.0
1.1469	351.848091914	53.0
1.1571	352.96960781	61.0
1.1674	354.095188704	71.0
1.1776	355.203020587	80.0
1.1878	356.304106171	78.0
1.1981	357.409182702	92.0
1.2083	358.496833551	85.0
1.2186	359.588426651	95.0
1.2288	360.662806686	127.0
1.239	361.730644131	122.0
1.2493	362.802352014	112.0
1.2595	363.857160396	132.0
1.2698	364.915791991	167.0
1.28	365.957730282	180.0
1.2902	366.993323542	178.0
1.3005	368.03267037	183.0
1.3107	369.055627989	212.0
1.321	370.082293377	230.0
1.3312	371.092769528	235.0
1.3414	372.097092241	245.0
1.3517	373.10505518	259.0
1.3619	374.097123796	284.0
1.3722	375.092788221	285.0
1.3824	376.072752256	310.0
1.3926	377.046748661	359.0
1.4029	378.024275372	373.0
1.4131	378.986387702	391.0
1.4234	379.951987263	426.0
1.4336	380.902360518	454.0
1.4438	381.846946342	450.0
1.4541	382.794955871	540.0
1.4643	383.728016468	533.0
1.4746	384.664458996	565.0
1.4848	385.58613499	581.0
1.495	386.502198308	632.0
1.5053	387.421581949	656.0
1.5155	388.326468053	693.0
1.5258	389.234633968	743.0
1.536	390.128479236	741.0
1.5462	391.016881307	772.0
1.5565	391.908503441	827.0
1.5667	392.786065803	823.0
1.577	393.66680894	895.0
1.5872	394.533663852	924.0
1.5974	395.395239929	913.0
1.6077	396.259938838	914.0
1.6179	397.111002519	1004.0
1.6282	397.965150929	1027.0
1.6384	398.805830481	1020.0
1.6486	399.641390596	1011.0
1.6589	400.479979246	1052.0
1.6691	401.305344395	1062.0
1.6794	402.133701127	1058.0
1.6896	402.948995704	1109.0
1.6998	403.759325429	1051.0
1.7101	404.57259224	1095.0
1.7203	405.373034844	1093.0
1.7306	406.176378699	1055.0
1.7408	406.967054819	1089.0
1.751	407.752916005	1014.0
1.7613	408.541625591	1015.0
1.7715	409.317898206	992.0
1.7818	410.096984466	876.0
1.792	410.863785503	875.0
1.8022	411.625916998	888.0
1.8125	412.390810882	878.0
1.8227	413.143643339	870.0
1.833	413.899204482	775.0
1.8432	414.642851363	780.0
1.8534	415.381969703	726.0
1.8637	416.123767019	720.0
1.8739	416.853867113	689.0
1.8842	417.586613496	616.0
1.8944	418.30780538	621.0
1.9046	419.024605464	554.0
1.9149	419.744003631	576.0
1.9251	420.452057783	558.0
1.9354	421.162678318	570.0
1.9456	421.86209325	520.0
1.9558	422.557248996	462.0
1.9661	423.254924374	467.0
1.9763	423.941598278	468.0
1.9866	424.630761071	481.0
1.9968	425.309056624	485.0
2.007	425.983221599	456.0
2.0173	426.659830125	507.0
2.0275	427.325769375	502.0
2.0378	427.994122359	515.0
2.048	428.651936248	458.0
2.0582	429.305744286	494.0
2.0685	429.961922089	503.0
2.0787	430.607752783	543.0
2.089	431.255924328	541.0
2.0992	431.893875013	542.0
2.1094	432.527940807	599.0
2.1197	433.164304809	604.0
2.1299	433.790634141	648.0
2.1402	434.41923364	630.0
2.1504	435.037920907	615.0
2.1606	435.652840589	665.0
2.1709	436.269989083	685.0
2.1811	436.877405913	715.0
2.1914	437.487024359	705.0
2.2016	438.087029881	749.0
2.2118	438.683381583	776.0
2.2221	439.281894797	784.0
2.2323	439.870970201	790.0
2.2426	440.462180743	799.0
2.2528	441.044068629	773.0
2.263	441.622413027	811.0
2.2733	442.202853667	833.0
2.2835	442.77414148	788.0
2.2938	443.347499958	855.0
2.304	443.911817285	820.0
2.3142	444.472698122	813.0
2.3245	445.035611904	809.0
2.3347	445.589649236	908.0
2.345	446.145694707	883.0
2.3552	446.692972032	872.0
2.3654	447.236916635	904.0
2.3757	447.782832796	881.0
2.3859	448.320140537	827.0
2.3962	448.859395782	854.0
2.4064	449.390147641	823.0
2.4166	449.917667412	903.0
2.4269	450.447099208	858.0
2.4371	450.968182523	879.0
2.4474	451.491154534	863.0
2.4576	452.005879927	824.0
2.4678	452.517470827	851.0
2.4781	453.030916017	819.0
2.4883	453.536264814	775.0
2.4986	454.043445278	822.0
2.5088	454.542628135	767.0
2.519	455.038771148	824.0
2.5293	455.53671246	820.0
2.5395	456.026801856	827.0
2.5498	456.51866761	770.0
2.56	457.002777251	770.0
2.5702	457.483938839	752.0
2.5805	457.966844424	693.0
2.5907	458.442135189	772.0
2.601	458.919148672	748.0
2.6112	459.388640245	703.0
2.6214	459.855272783	775.0
2.6317	460.323596657	704.0
2.6419	460.784535646	707.0
2.6522	461.247145334	696.0
2.6624	461.702460243	710.0
2.6726	462.155002447	662.0
2.6829	462.609184917	732.0
2.6931	463.056205493	693.0
2.7034	463.504846321	666.0
2.7136	463.946412641	705.0
2.7238	464.38528998	648.0
2.7341	464.825758055	614.0
2.7443	465.259280496	677.0
2.7546	465.694374264	694.0
2.7648	466.122607144	693.0
2.775	466.54823224	619.0
2.7853	466.975400038	669.0
2.7955	467.39583193	623.0
2.8058	467.817787702	701.0
2.816	468.233089756	682.0
2.8262	468.64586277	669.0
2.8365	469.060131903	694.0
2.8467	469.467868526	649.0
2.857	469.877083014	638.0
2.8672	470.279844699	663.0
2.8774	470.680153709	699.0
2.8877	471.081913662	641.0
2.8979	471.47733836	714.0
2.9082	471.874196297	685.0
2.9184	472.264796278	656.0
2.9286	472.653017645	676.0
2.9389	473.042646143	658.0
2.9491	473.426130684	647.0
2.9594	473.811005186	641.0
2.9696	474.189810695	640.0
2.9798	474.566309415	665.0
2.9901	474.944172777	636.0
3.0003	475.316077702	630.0
3.0106	475.689330618	602.0
3.0208	476.0566978	618.0
3.031	476.421827847	594.0
3.0413	476.788281329	644.0
3.0515	477.148956295	631.0
3.0618	477.510938548	657.0
3.072	477.867212791	602.0
3.0822	478.221317452	628.0
3.0925	478.576705585	606.0
3.1027	478.926489689	631.0
