TL-DOS Lehrstuhlversuch
detector=R1408201
job_number=2015-10-22-014
irradiation_dose [mSv]=3.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	223.391392365	0.0
0.0102	225.074614137	0.0
0.0205	226.765616015	0.0
0.0307	228.431607262	0.0
0.041	230.105298973	1.0
0.0512	231.754236077	1.0
0.0614	233.394752859	2.0
0.0717	235.042852357	2.0
0.0819	236.666575769	1.0
0.0922	238.297804276	1.0
0.1024	239.904906225	3.0
0.1126	241.503801484	2.0
0.1229	243.110087078	0.0
0.1331	244.69261503	1.0
0.1434	246.282457667	1.0
0.1536	247.84878586	1.0
0.1638	249.407115574	2.0
0.1741	250.972648124	4.0
0.1843	252.515025787	1.0
0.1946	254.064532553	0.0
0.2048	255.59112146	1.0
0.215	257.109914818	1.0
0.2253	258.635728268	1.0
0.2355	260.138974293	1.0
0.2458	261.64916855	0.0
0.256	263.137026396	1.0
0.2662	264.617286473	0.0
0.2765	266.104388536	0.0
0.2867	267.569495733	3.0
0.297	269.041374877	0.0
0.3072	270.491484307	0.0
0.3174	271.934188731	0.0
0.3277	273.383561553	0.0
0.3379	274.81149754	0.0
0.3482	276.246033663	0.0
0.3584	277.659352391	0.0
0.3686	279.065453986	0.0
0.3789	280.478054795	0.0
0.3891	281.869762642	0.0
0.3994	283.267903174	0.0
0.4096	284.645364617	0.0
0.4198	286.015792032	0.0
0.4301	287.392553771	1.0
0.4403	288.748952622	0.0
0.4506	290.111620954	0.0
0.4608	291.454134846	0.0
0.471	292.789793171	0.0
0.4813	294.13162511	0.0
0.4915	295.45361079	0.0
0.5018	296.781706887	1.0
0.512	298.090159882	0.0
0.5222	299.391931242	0.0
0.5325	300.699719587	0.0
0.5427	301.98816519	0.0
0.553	303.282566183	1.0
0.5632	304.55782244	0.0
0.5734	305.826566581	0.0
0.5837	307.10117505	0.0
0.5939	308.356931521	0.0
0.6042	309.61849229	0.0
0.6144	310.861394042	1.0
0.6246	312.097948897	0.0
0.6349	313.340219296	2.0
0.6451	314.564115992	0.0
0.6554	315.793669723	0.0
0.6656	317.005037836	1.0
0.6758	318.210220079	0.0
0.6861	319.420972857	0.0
0.6963	320.61381809	1.0
0.7066	321.812176835	2.0
0.7168	322.992811349	0.0
0.727	324.167416934	2.0
0.7373	325.347451723	0.0
0.7475	326.510033301	4.0
0.7578	327.677988506	2.0
0.768	328.828669162	1.0
0.7782	329.973473848	0.0
0.7885	331.123569996	1.0
0.7987	332.256655736	1.0
0.809	333.39497877	3.0
0.8192	334.516465526	3.0
0.8294	335.632225392	4.0
0.8397	336.75314247	7.0
0.8499	337.857480711	5.0
0.8602	338.966923371	1.0
0.8704	340.059956905	7.0
0.8806	341.147408847	6.0
0.8909	342.239887157	10.0
0.9011	343.316207251	8.0
0.9114	344.39750226	7.0
0.9216	345.46280446	6.0
0.9318	346.522666677	13.0
0.9421	347.587427738	10.0
0.9523	348.636440534	15.0
0.9626	349.690302026	16.0
0.9728	350.728576462	20.0
0.983	351.761548933	12.0
0.9933	352.799295959	8.0
1.0035	353.821694269	18.0
1.0138	354.848818259	17.0
1.024	355.860750652	35.0
1.0342	356.867515596	20.0
1.0445	357.87893396	31.0
1.0547	358.87539302	39.0
1.065	359.876457865	29.0
1.0752	360.862716538	38.0
1.0854	361.843938866	53.0
1.0957	362.829696552	48.0
1.1059	363.800874466	50.0
1.1162	364.776541312	76.0
1.1264	365.737777633	70.0
1.1366	366.694105386	75.0
1.1469	367.654853431	74.0
1.1571	368.601391607	95.0
1.1674	369.552304826	87.0
1.1776	370.489153637	108.0
1.1878	371.421218415	104.0
1.1981	372.357591337	132.0
1.2083	373.280114909	134.0
1.2186	374.206902525	125.0
1.2288	375.119982561	176.0
1.239	376.028399939	156.0
1.2493	376.94101616	181.0
1.2595	377.840134403	192.0
1.2698	378.743408505	231.0
1.28	379.633322803	241.0
1.2902	380.51869274	262.0
1.3005	381.408154991	256.0
1.3107	382.284461719	306.0
1.321	383.16481887	322.0
1.3312	384.032155168	309.0
1.3414	384.895062399	373.0
1.3517	385.761958118	403.0
1.3619	386.616032083	427.0
1.3722	387.474053708	420.0
1.3824	388.319384831	466.0
1.3926	389.160399258	497.0
1.4029	390.00530098	500.0
1.4131	390.83770625	482.0
1.4234	391.673959023	579.0
1.4336	392.497843264	637.0
1.4438	393.317520328	602.0
1.4541	394.140986063	623.0
1.4643	394.952272393	647.0
1.4746	395.767308611	697.0
1.4848	396.5702901	710.0
1.495	397.369171151	769.0
1.5053	398.171744751	744.0
1.5155	398.962447949	787.0
1.5258	399.756805897	836.0
1.536	400.539414956	806.0
1.5462	401.318027609	847.0
1.5565	402.100239129	893.0
1.5667	402.870881409	850.0
1.577	403.645085715	838.0
1.5872	404.407839213	867.0
1.5974	405.166697698	829.0
1.6077	405.929063743	871.0
1.6179	406.680154071	854.0
1.6282	407.434716053	827.0
1.6384	408.178117745	800.0
1.6486	408.917723244	778.0
1.6589	409.660747313	800.0
1.6691	410.392781741	722.0
1.6794	411.128199744	740.0
1.6896	411.852740604	666.0
1.6998	412.573581585	675.0
1.7101	413.297754403	603.0
1.7203	414.011216398	624.0
1.7306	414.727976124	589.0
1.7408	415.43413467	581.0
1.751	416.136687207	529.0
1.7613	416.842487048	492.0
1.7715	417.537847811	502.0
1.7818	418.236422638	468.0
1.792	418.924665248	434.0
1.8022	419.609393336	411.0
1.8125	420.297286342	445.0
1.8227	420.975005119	387.0
1.833	421.655856416	351.0
1.8432	422.326637634	351.0
1.8534	422.993993498	379.0
1.8637	423.664433982	360.0
1.8739	424.324958368	415.0
1.8842	424.988535797	386.0
1.8944	425.642298637	379.0
1.9046	426.292723027	384.0
1.9149	426.946153776	427.0
1.9251	427.589920009	434.0
1.9354	428.236661828	433.0
1.9456	428.873838061	462.0
1.9558	429.507760545	468.0
1.9661	430.144613114	488.0
1.9763	430.772046365	471.0
1.9866	431.402379708	491.0
1.9968	432.023390154	473.0
2.007	432.641229401	510.0
2.0173	433.261924395	552.0
2.0275	433.873439047	547.0
2.0378	434.487780214	540.0
2.048	435.093035015	545.0
2.0582	435.695199073	584.0
2.0685	436.300146424	613.0
2.0787	436.896146349	590.0
2.089	437.494901076	607.0
2.0992	438.084799968	626.0
2.1094	438.671686532	640.0
2.1197	439.261285774	590.0
2.1299	439.842164595	671.0
2.1402	440.425728326	648.0
2.1504	441.000660903	664.0
2.1606	441.572657578	676.0
2.1709	442.147298108	665.0
2.1811	442.713439463	641.0
2.1914	443.282197608	677.0
2.2016	443.842543581	686.0
2.2118	444.400028138	674.0
2.2221	444.960089473	690.0
2.2323	445.511867265	713.0
2.2426	446.066195457	678.0
2.2528	446.612324901	694.0
2.263	447.155665527	640.0
2.2733	447.701517556	700.0
2.2835	448.239296203	706.0
2.2938	448.779560544	677.0
2.304	449.311834148	685.0
2.3142	449.841389688	704.0
2.3245	450.373392914	675.0
2.3347	450.897527588	665.0
2.345	451.424084892	646.0
2.3552	451.942854191	649.0
2.3654	452.458974386	659.0
2.3757	452.977480168	608.0
2.3859	453.48831703	629.0
2.3962	454.001515057	633.0
2.4064	454.507122669	588.0
2.4166	455.010148388	644.0
2.4269	455.515499168	605.0
2.4371	456.013375597	574.0
2.4474	456.513553286	598.0
2.4576	457.006333136	594.0
2.4678	457.496596598	568.0
2.4781	457.989126132	607.0
2.4883	458.474370946	565.0
2.4986	458.961858636	558.0
2.5088	459.442136177	537.0
2.519	459.919961173	584.0
2.5293	460.399994748	541.0
2.5395	460.872928425	564.0
2.5498	461.348048073	506.0
2.56	461.8161405	546.0
2.5702	462.281842606	548.0
2.5805	462.749697258	533.0
2.5907	463.210632143	509.0
2.601	463.673697538	556.0
2.6112	464.129914	530.0
2.6214	464.583800786	565.0
2.6317	465.039785506	563.0
2.6419	465.489026019	536.0
2.6522	465.94034299	550.0
2.6624	466.384984793	526.0
2.6726	466.827356025	519.0
2.6829	467.271771964	552.0
2.6931	467.709614804	541.0
2.7034	468.149481419	529.0
2.7136	468.582842222	551.0
2.7238	469.013990062	539.0
2.7341	469.447130732	557.0
2.7443	469.873865068	556.0
2.7546	470.302571835	550.0
2.7648	470.724937849	510.0
2.775	471.145147044	527.0
2.7853	471.567298509	510.0
2.7955	471.983206176	512.0
2.8058	472.401036231	516.0
2.816	472.812686404	539.0
2.8262	473.222234478	554.0
2.8365	473.633675546	507.0
2.8467	474.039031227	582.0
2.857	474.446260523	509.0
2.8672	474.847466726	508.0
2.8774	475.246624163	489.0
2.8877	475.647626566	508.0
2.8979	476.042697975	521.0
2.9082	476.439595464	519.0
2.9184	476.830622671	479.0
2.9286	477.219653092	499.0
2.9389	477.61048167	513.0
2.9491	477.995529729	502.0
2.9594	478.382357538	477.0
2.9696	478.763464	482.0
2.9798	479.142624337	475.0
2.9901	479.52353721	503.0
3.0003	479.898816221	443.0
3.0106	480.275829828	477.0
3.0208	480.647267246	473.0
3.031	481.016807912	453.0
3.0413	481.388056651	432.0
3.0515	481.753814464	447.0
3.0618	482.121262866	457.0
3.072	482.483276551	463.0
3.0822	482.843441607	465.0
3.0925	483.205271401	440.0
3.1027	483.561749579	477.0
3.113	483.919875454	465.0
3.1232	484.272704495	437.0
3.1334	484.62373181	435.0
3.1437	484.976381626	420.0
3.1539	485.323815603	469.0
3.1642	485.672855472	414.0
3.1744	486.016732894	440.0
3.1846	486.358854301	450.0
3.1949	486.702557044	433.0
3.2051	487.04117628	480.0
3.2154	487.381360664	444.0
3.2256	487.716513578	425.0
3.2358	488.049955028	425.0
3.2461	488.384937696	450.0
3.2563	488.714965828	409.0
3.2666	489.0465194	467.0
3.2768	489.373169155	456.0
3.287	489.698150868	434.0
3.2973	490.024634696	425.0
3.3075	490.34628969	425.0
3.3178	490.669431422	407.0
3.328	490.987793752	409.0
3.3382	491.30453036	415.0
3.3485	491.622730972	411.0
3.3587	491.936225263	446.0
3.369	492.251168571	399.0
3.3792	492.561453736	403.0
3.3894	492.870154424	429.0
3.3997	493.180281974	431.0
3.4099	493.485822607	369.0
3.4202	493.792775494	439.0
3.4304	494.095188419	413.0
3.4406	494.396057068	370.0
3.4509	494.698316377	413.0
3.4611	494.996105143	464.0
3.4714	495.295270334	439.0
3.4816	495.590010746	422.0
3.4918	495.883246061	402.0
3.5021	496.177836755	421.0
3.5123	496.468070327	413.0
3.5226	496.759645403	405.0
3.5328	497.046907961	441.0
3.543	497.332703608	414.0
3.5533	497.619820246	401.0
3.5635	497.902690308	418.0
3.5738	498.186867838	438.0
3.584	498.466842262	411.0
3.5942	498.745386993	419.0
3.6045	499.025219199	419.0
3.6147	499.300912569	450.0
3.625	499.577880236	422.0
3.6352	499.850751434	447.0
3.6454	500.122229211	389.0
3.6557	500.394961799	394.0
3.6659	500.663660557	388.0
3.6762	500.933601282	383.0
3.6864	501.19954947	412.0
3.6966	501.464139589	435.0
3.7069	501.729952683	380.0
3.7171	501.99183429	447.0
3.7274	502.254926353	402.0
3.7376	502.514127174	360.0
3.7478	502.772004381	409.0
3.7581	503.031073536	382.0
3.7683	503.286310949	352.0
3.7786	503.542728108	375.0
3.7888	503.795352749	365.0
3.799	504.046687358	334.0
3.8093	504.299183674	382.0
