TL-DOS Lehrstuhlversuch
detector=R1408101
job_number=2015-11-05-009
irradiation_dose [mSv]=0.06

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	181.918653407	0.0
0.0102	183.150897242	0.0
0.0205	184.391192183	0.0
0.0307	185.615467736	0.0
0.041	186.847742332	0.0
0.0512	188.064101128	1.0
0.0614	189.276539949	0.0
0.0717	190.496900476	0.0
0.0819	191.701499082	2.0
0.0922	192.913968169	1.0
0.1024	194.11077726	3.0
0.1126	195.303729379	0.0
0.1229	196.504475883	4.0
0.1331	197.689713798	3.0
0.1434	198.882695696	1.0
0.1536	200.060269291	3.0
0.1638	201.234047904	1.0
0.1741	202.415495629	1.0
0.1843	203.581684023	2.0
0.1946	204.755491937	0.0
0.2048	205.914139195	2.0
0.215	207.069052464	1.0
0.2253	208.231511586	0.0
0.2355	209.378956629	3.0
0.2458	210.533898729	0.0
0.256	211.67392384	1.0
0.2662	212.810274976	1.0
0.2765	213.954050685	0.0
0.2867	215.083053627	1.0
0.297	216.21943313	0.0
0.3072	217.341135395	1.0
0.3174	218.459222735	1.0
0.3277	219.584615317	0.0
0.3379	220.695472565	0.0
0.3482	221.813587815	0.0
0.3584	222.917261724	0.0
0.3686	224.017378809	0.0
0.3789	225.124683723	0.0
0.3891	226.21768692	0.0
0.3994	227.317831467	0.0
0.4096	228.403766778	0.0
0.4198	229.486202431	0.0
0.4301	230.575710389	0.0
0.4403	231.651146491	0.0
0.4506	232.733609165	0.0
0.4608	233.802090979	0.0
0.471	234.867129382	2.0
0.4813	235.939126422	2.0
0.4915	236.997277773	0.0
0.5018	238.062342762	1.0
0.512	239.113651597	0.0
0.5222	240.161572364	0.0
0.5325	241.216339926	0.0
0.5427	242.257484332	0.0
0.553	243.305431259	0.0
0.5632	244.339843123	1.0
0.5734	245.370921375	0.0
0.5837	246.408736378	1.0
0.5939	247.43314718	0.0
0.6042	248.46425117	0.0
0.6144	249.482037638	3.0
0.6246	250.496544072	1.0
0.6349	251.517678982	0.0
0.6451	252.525625129	1.0
0.6554	253.540156888	0.0
0.6656	254.541585168	0.0
0.6758	255.539786132	0.0
0.6861	256.544509037	0.0
0.6963	257.536255153	0.0
0.7066	258.534481035	0.0
0.7168	259.519814041	1.0
0.727	260.501971602	0.0
0.7373	261.490546282	0.0
0.7475	262.466352738	0.0
0.7578	263.448534817	0.0
0.768	264.418031238	1.0
0.7782	265.38440325	0.0
0.7885	266.357089243	0.0
0.7987	267.317212228	1.0
0.809	268.283608363	0.0
0.8192	269.23752273	0.0
0.8294	270.188362904	0.0
0.8397	271.145415578	0.0
0.8499	272.090107161	0.0
0.8602	273.040971071	0.0
0.8704	273.979553822	0.0
0.8806	274.915111791	0.0
0.8909	275.85678241	0.0
0.9011	276.78629061	0.0
0.9114	277.721871933	0.0
0.9216	278.645369484	0.0
0.9318	279.565890867	0.0
0.9421	280.492426657	0.0
0.9523	281.406995505	0.0
0.9626	282.327539867	0.0
0.9728	283.236194672	1.0
0.983	284.141921143	0.0
0.9933	285.053565355	0.0
1.0035	285.953434962	1.0
1.0138	286.859184043	1.0
1.024	287.753234659	0.0
1.0342	288.644404006	0.0
1.0445	289.541395982	1.0
1.0547	290.426802599	0.0
1.065	291.317994192	0.0
1.0752	292.197675343	0.0
1.0854	293.074521533	0.0
1.0957	293.957096769	1.0
1.1059	294.828272849	1.0
1.1162	295.705140928	0.0
1.1264	296.570683563	0.0
1.1366	297.433436802	0.0
1.1469	298.301827009	1.0
1.1571	299.159001269	0.0
1.1674	300.021776046	1.0
1.1776	300.873407404	0.0
1.1878	301.7222942	0.0
1.1981	302.576727362	0.0
1.2083	303.420124846	0.0
1.2186	304.269032832	1.0
1.2288	305.106976501	0.0
1.239	305.942219717	0.0
1.2493	306.782920159	0.0
1.2595	307.61276229	1.0
