TL-DOS Lehrstuhlversuch
detector=R1407605
job_number=2015-11-05-005
irradiation_dose [mSv]=0.06

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	208.997207947	0.0
0.0102	210.160637817	0.0
0.0205	211.331782793	1.0
0.0307	212.487913661	2.0
0.041	213.651711233	0.0
0.0512	214.800588892	2.0
0.0614	215.945874608	0.0
0.0717	217.09875511	0.0
0.0819	218.236855656	1.0
0.0922	219.38250334	3.0
0.1024	220.513463793	2.0
0.1126	221.640888321	1.0
0.1229	222.775789191	1.0
0.1331	223.896140604	2.0
0.1434	225.023921456	0.0
0.1536	226.137244128	2.0
0.1638	227.24708602	1.0
0.1741	228.364287658	0.0
0.1843	229.467166744	0.0
0.1946	230.577359402	2.0
0.2048	231.673319363	1.0
0.215	232.765852827	1.0
0.2253	233.86563126	3.0
0.2355	234.951310505	1.0
0.2458	236.044189266	0.0
0.256	237.123057293	0.0
0.2662	238.198552262	0.0
0.2765	239.28117921	0.0
0.2867	240.349926854	1.0
0.297	241.425761734	1.0
0.3072	242.487804384	0.0
0.3174	243.546526579	1.0
0.3277	244.612269527	0.0
0.3379	245.664349625	0.0
0.3482	246.72340643	0.0
0.3584	247.768886101	0.0
0.3686	248.8110971	0.0
0.3789	249.860219362	0.0
0.3891	250.89589185	1.0
0.3994	251.938432241	0.0
0.4096	252.967607239	0.0
0.4198	253.993564542	0.0
0.4301	255.026325323	0.0
0.4403	256.045846085	0.0
0.4506	257.072127642	0.0
0.4608	258.085252245	0.0
0.471	259.095209334	0.0
0.4813	260.111863798	0.0
0.4915	261.115484726	0.0
0.5018	262.125761013	0.0
0.512	263.123085533	0.0
0.5222	264.117291937	1.0
0.5325	265.118091269	0.0
0.5427	266.106060328	0.0
0.553	267.100580953	0.0
0.5632	268.082351798	0.0
0.5734	269.061053157	0.0
0.5837	270.046244623	0.0
0.5939	271.01880591	0.0
0.6042	271.997816588	0.0
0.6144	272.964276325	0.0
0.6246	273.927714445	0.0
0.6349	274.897541457	0.0
0.6451	275.854935263	0.0
0.6554	276.818677878	1.0
0.6656	277.77006529	2.0
0.6758	278.718478208	0.0
0.6861	279.67318038	0.0
0.6963	280.615643247	1.0
0.7066	281.564355911	1.0
0.7168	282.500906056	0.0
0.727	283.434528095	0.0
0.7373	284.374341306	0.0
0.7475	285.302106088	0.0
0.7578	286.236023199	1.0
0.768	287.157967471	0.0
0.7782	288.077029302	0.0
0.7885	289.00218575	0.0
0.7987	289.915481669	0.0
0.809	290.834833971	0.0
0.8192	291.742400153	0.0
0.8294	292.647128847	0.0
0.8397	293.557857111	0.0
0.8499	294.456909816	0.0
0.8602	295.361924451	0.0
0.8704	296.255336776	0.0
0.8806	297.145955865	1.0
0.8909	298.042480958	0.0
0.9011	298.927512577	0.0
0.9114	299.818413147	0.0
0.9216	300.69789235	0.0
0.9318	301.574621879	0.0
0.9421	302.457165305	0.0
0.9523	303.328394502	0.0
0.9626	304.205401122	0.0
0.9728	305.071164495	0.0
0.983	305.934221077	0.0
0.9933	306.803000886	0.0
1.0035	307.660642916	0.0
1.0138	308.523972267	1.0
1.024	309.376233715	1.0
1.0342	310.225830584	1.0
1.0445	311.081061425	0.0
1.0547	311.925328185	0.0
1.065	312.77519357	0.0
1.0752	313.614163661	0.0
1.0854	314.450510728	1.0
1.0957	315.292403902	1.0
1.1059	316.123503984	0.0
1.1162	316.96011538	0.0
1.1264	317.786001396	0.0
1.1366	318.609305296	2.0
1.1469	319.43806881	0.0
1.1571	320.256207555	0.0
1.1674	321.079771662	0.0
1.1776	321.892777656	1.0
1.1878	322.703241803	1.0
1.1981	323.519080419	0.0
1.2083	324.324459963	0.0
1.2186	325.135180258	1.0
1.2288	325.935507099	0.0
1.239	326.733331735	0.0
1.2493	327.536447021	1.0
1.2595	328.32926635	0.0
1.2698	329.127343139	0.0
1.28	329.915188563	0.0
1.2902	330.700570804	0.0
1.3005	331.491161187	0.0
1.3107	332.271616182	0.0
1.321	333.057246644	0.0
1.3312	333.832805304	0.0
1.3414	334.605939196	0.0
1.3517	335.384200006	0.0
1.3619	336.152483493	0.0
1.3722	336.925861735	0.0
1.3824	337.689325248	0.0
1.3926	338.450401808	0.0
1.4029	339.21652533	1.0
1.4131	339.972827129	1.0
1.4234	340.734144228	2.0
1.4336	341.485701222	1.0
1.4438	342.234908489	0.0
1.4541	342.989084009	0.0
1.4643	343.73359098	0.0
1.4746	344.483035034	0.0
1.4848	345.222871197	0.0
1.495	345.960394278	1.0
1.5053	346.702808129	0.0
1.5155	347.435704216	1.0
1.5258	348.173460391	0.0
1.536	348.901758514	0.0
1.5462	349.627779627	1.0
1.5565	350.358615238	1.0
1.5667	351.080081518	3.0
1.577	351.806332091	2.0
1.5872	352.523272114	2.0
1.5974	353.237970638	1.0
1.6077	353.957408575	1.0
1.6179	354.667623301	2.0
1.6282	355.382547706	0.0
1.6384	356.088306762	0.0
1.6486	356.791859277	0.0
1.6589	357.500077293	0.0
1.6691	358.199215936	0.0
1.6794	358.902990809	0.0
1.6896	359.597743271	1.0
1.6998	360.290323604	0.0
1.7101	360.987496677	0.0
1.7203	361.675731973	3.0
1.7306	362.368531197	3.0
1.7408	363.052448717	3.0
1.751	363.734227982	2.0
1.7613	364.420528363	1.0
1.7715	365.098030355	2.0
1.7818	365.780025097	0.0
1.792	366.453276651	2.0
1.8022	367.124423296	3.0
1.8125	367.800020548	2.0
1.8227	368.466956626	5.0
1.833	369.138315388	0.0
1.8432	369.801067315	2.0
1.8534	370.46174716	1.0
1.8637	371.126808203	1.0
1.8739	371.783343147	2.0
1.8842	372.444231801	1.0
1.8944	373.096647846	6.0
1.9046	373.747024126	0.0
1.9149	374.401713276	3.0
1.9251	375.048009295	2.0
1.9354	375.698591126	4.0
1.9456	376.340832483	4.0
1.9558	376.981065885	2.0
1.9661	377.625544896	3.0
1.9763	378.26176167	5.0
1.9866	378.902197418	3.0
1.9968	379.534422764	8.0
2.007	380.164671471	7.0
2.0173	380.799099574	6.0
2.0275	381.425394294	7.0
2.0378	382.055842191	2.0
2.048	382.67820773	8.0
2.0582	383.298627456	5.0
2.0685	383.9231614	6.0
2.0787	384.539688803	1.0
2.089	385.160304613	10.0
2.0992	385.772964114	2.0
2.1094	386.383708146	1.0
2.1197	386.998502234	8.0
2.1299	387.605414646	7.0
2.1402	388.216351705	9.0
2.1504	388.819456535	9.0
2.1606	389.42067577	8.0
2.1709	390.025881899	4.0
2.1811	390.62332927	10.0
2.1914	391.224738521	8.0
2.2016	391.818437691	11.0
2.2118	392.410280672	7.0
2.2221	393.006048369	5.0
2.2323	393.594178309	7.0
2.2426	394.186208343	14.0
2.2528	394.770648537	16.0
2.263	395.353261491	17.0
2.2733	395.939737952	19.0
2.2835	396.518695772	10.0
2.2938	397.10149286	8.0
2.304	397.676818476	8.0
2.3142	398.250345348	12.0
2.3245	398.827675475	14.0
2.3347	399.397604216	14.0
2.345	399.971312351	14.0
2.3552	400.537665534	9.0
2.3654	401.102248026	11.0
2.3757	401.670574459	15.0
2.3859	402.231614933	14.0
2.3962	402.796375861	9.0
2.4064	403.35389654	10.0
2.4166	403.909674142	18.0
2.4269	404.469137298	6.0
2.4371	405.021428122	7.0
2.4474	405.577381377	15.0
2.4576	406.126207299	12.0
2.4678	406.673317327	14.0
2.4781	407.224055431	12.0
2.4883	407.767733059	12.0
2.4986	408.315016002	14.0
2.5088	408.855282763	12.0
2.519	409.393860392	15.0
2.5293	409.936009516	10.0
2.5395	410.471208274	14.0
2.5498	411.00995612	14.0
2.56	411.541797206	13.0
2.5702	412.071975502	4.0
2.5805	412.605669593	13.0
2.5907	413.132521713	10.0
2.601	413.662867572	8.0
2.6112	414.186414383	15.0
2.6214	414.708324337	13.0
2.6317	415.233695255	6.0
2.6419	415.752330906	9.0
2.6522	416.274405809	13.0
2.6624	416.789787699	14.0
2.6726	417.303558258	7.0
2.6829	417.820735808	12.0
2.6931	418.331283129	9.0
2.7034	418.845216065	6.0
2.7136	419.352560369	7.0
2.7238	419.858318471	10.0
2.7341	420.36743043	7.0
2.7443	420.870015561	11.0
2.7546	421.375933508	11.0
2.7648	421.875365575	3.0
2.775	422.373236177	5.0
2.7853	422.874408332	12.0
2.7955	423.369155447	3.0
2.8058	423.867183402	11.0
2.816	424.358826626	9.0
2.8262	424.848932737	6.0
2.8365	425.342288912	10.0
2.8467	425.829320249	7.0
2.857	426.319581258	8.0
2.8672	426.80355711	9.0
2.8774	427.286019821	9.0
2.8877	427.771681909	8.0
2.8979	428.251117797	12.0
2.9082	428.733732991	5.0
2.9184	429.210161046	11.0
2.9286	429.685099558	13.0
2.9389	430.163187552	13.0
2.9491	430.635146446	11.0
2.9594	431.110235063	8.0
2.9696	431.579233032	10.0
2.9798	432.046764688	14.0
2.9901	432.517396709	18.0
3.0003	432.981995216	13.0
3.0106	433.449674636	11.0
3.0208	433.911358394	11.0
3.031	434.371598708	16.0
3.0413	434.834891034	13.0
3.0515	435.292243941	5.0
3.0618	435.752629714	16.0
3.072	436.20711333	10.0
3.0822	436.660176012	10.0
3.0925	437.11624311	12.0
3.1027	437.566463416	11.0
3.113	438.019669288	10.0
3.1232	438.467065051	16.0
3.1334	438.913062039	9.0
3.1437	439.362016588	6.0
3.1539	439.805215529	15.0
3.1642	440.251353475	17.0
3.1744	440.691771922	15.0
3.1846	441.130813409	10.0
3.1949	441.572766333	13.0
3.2051	442.009053409	13.0
3.2154	442.448233655	12.0
3.2256	442.8817836	14.0
3.2358	443.31397806	11.0
3.2461	443.749038551	7.0
3.2563	444.178521556	19.0
3.2666	444.610852612	14.0
3.2768	445.037641172	16.0
3.287	445.463095387	11.0
3.2973	445.891370936	12.0
3.3075	446.314155982	17.0
3.3178	446.739744662	14.0
3.328	447.159877284	15.0
3.3382	447.578696371	11.0
3.3485	448.000292791	9.0
3.3587	448.416484336	12.0
3.369	448.83543579	13.0
3.3792	449.249016276	15.0
3.3894	449.661303712	14.0
3.3997	450.076325168	19.0
3.4099	450.486026039	17.0
3.4202	450.898443778	8.0
3.4304	451.305574312	10.0
3.4406	451.71143196	6.0
3.4509	452.119980991	9.0
3.4611	452.523292413	13.0
3.4714	452.929278332	9.0
3.4816	453.330059503	11.0
3.4918	453.729587639	9.0
3.5021	454.131765184	10.0
3.5123	454.528786804	7.0
3.5226	454.928441211	8.0
3.5328	455.322972039	7.0
3.543	455.716269374	17.0
3.5533	456.1121748	10.0
3.5635	456.503004709	11.0
3.5738	456.896426346	9.0
3.584	457.284804308	7.0
3.5942	457.671968014	12.0
3.6045	458.061699137	11.0
3.6147	458.446433897	15.0
3.625	458.833719967	20.0
3.6352	459.216041019	10.0
3.6454	459.597166753	14.0
3.6557	459.980819863	10.0
3.6659	460.359554531	9.0
3.6762	460.740800719	11.0
3.6864	461.117159322	4.0
3.6966	461.492341248	10.0
3.7069	461.870011135	15.0
3.7171	462.242839284	9.0
3.7274	462.618139786	11.0
3.7376	462.988628927	5.0
