TL-DOS Lehrstuhlversuch
detector=R1407403
job_number=2015-11-02-008
irradiation_dose [mSv]=0.2

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	160.105125154	0.0
0.0102	161.660208645	0.0
0.0205	163.224500176	1.0
0.0307	164.767648105	2.0
0.041	166.3199334	0.0
0.0512	167.851237376	1.0
0.0614	169.376682174	1.0
0.0717	170.911159513	2.0
0.0819	172.424896232	7.0
0.0922	173.947596166	1.0
0.1024	175.449714667	0.0
0.1126	176.946085663	0.0
0.1229	178.451317046	2.0
0.1331	179.93620311	1.0
0.1434	181.429881556	1.0
0.1536	182.903370837	0.0
0.1638	184.371222155	2.0
0.1741	185.847764988	1.0
0.1843	187.304350267	0.0
0.1946	188.769560353	1.0
0.2048	190.214966064	2.0
0.215	191.654841266	1.0
0.2253	193.103242331	1.0
0.2355	194.532066217	2.0
0.2458	195.969350528	1.0
0.256	197.38720792	0.0
0.2662	198.79964021	1.0
0.2765	200.220435866	2.0
0.2867	201.622027471	0.0
0.297	203.03191825	2.0
0.3072	204.422752372	0.0
0.3174	205.808264792	2.0
0.3277	207.201981178	0.0
0.3379	208.576859526	1.0
0.3482	209.959878874	2.0
0.3584	211.324204769	0.0
0.3686	212.68331039	3.0
0.3789	214.050463615	2.0
0.3891	215.399137842	2.0
0.3994	216.755797906	1.0
0.4096	218.094120802	2.0
0.4198	219.427322916	1.0
0.4301	220.768419255	0.0
0.4403	222.09138879	1.0
0.4506	223.422191959	2.0
0.4608	224.735007451	1.0
0.471	226.042799761	0.0
0.4813	227.358335837	2.0
0.4915	228.656090592	0.0
0.5018	229.961529678	4.0
0.512	231.249323919	0.0
0.5222	232.532190715	1.0
0.5325	233.822653687	4.0
0.5427	235.095674236	2.0
0.553	236.376232659	0.0
0.5632	237.639482534	2.0
0.5734	238.897898878	2.0
0.5837	240.16376662	0.0
0.5939	241.412524378	3.0
0.6042	242.668676345	0.0
0.6144	243.90784965	1.0
0.6246	245.142281548	2.0
0.6349	246.384022826	1.0
0.6451	247.608980225	0.0
0.6554	248.841190903	0.0
0.6656	250.05674652	0.0
0.6758	251.267651097	2.0
0.6861	252.485725743	1.0
0.6963	253.687336397	0.0
0.7066	254.896062089	4.0
0.7168	256.088450153	0.0
0.727	257.276275822	0.0
0.7373	258.471134904	0.0
0.7475	259.649843785	0.0
