TL-DOS Lehrstuhlversuch
detector=R1408202
job_number=2015-10-21-012
irradiation_dose [mSv]=5.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	174.579547808	0.0
0.0102	175.800456339	0.0
0.0205	177.029440132	3.0
0.0307	178.242647586	4.0
0.041	179.463879365	0.0
0.0512	180.669434317	1.0
0.0614	181.871199686	1.0
0.0717	183.0809137	3.0
0.0819	184.27509874	0.0
0.0922	185.477182288	2.0
0.1024	186.663834813	1.0
0.1126	187.846757172	1.0
0.1229	189.037503548	1.0
0.1331	190.212964434	2.0
0.1434	191.396199985	2.0
0.1536	192.564246462	2.0
0.1638	193.728621261	4.0
0.1741	194.900697399	1.0
0.1843	196.057727716	2.0
0.1946	197.222410795	0.0
0.2048	198.372142957	1.0
0.215	199.51826101	1.0
0.2253	200.67195965	1.0
0.2355	201.810848379	5.0
0.2458	202.957269879	2.0
0.256	204.088974883	1.0
0.2662	205.217122447	1.0
0.2765	206.352731737	0.0
0.2867	207.473763328	0.0
0.297	208.60220958	0.0
0.3072	209.716170083	0.0
0.3174	210.826628924	2.0
0.3277	211.944432496	0.0
0.3379	213.047886939	0.0
0.3482	214.158639785	0.0
0.3584	215.25513401	1.0
0.3686	216.348181477	0.0
0.3789	217.448458515	0.0
0.3891	218.534611409	0.0
0.3994	219.627948272	0.0
0.4096	220.707250081	0.0
0.4198	221.783159176	0.0
0.4301	222.866184485	0.0
0.4403	223.935307109	0.0
0.4506	225.011501061	0.0
0.4608	226.073880022	0.0
0.471	227.132919464	0.0
0.4813	228.198963542	0.0
0.4915	229.251322921	0.0
0.5018	230.310642755	0.0
0.512	231.356364208	0.0
0.5222	232.398798503	0.0
0.5325	233.448127607	1.0
0.5427	234.48398658	0.0
0.553	235.52669687	0.0
0.5632	236.556021996	0.0
0.5734	237.582111505	0.0
0.5837	238.614987715	1.0
0.5939	239.634604999	1.0
0.6042	240.660966175	0.0
0.6144	241.674152059	0.0
0.6246	242.684153058	0.0
0.6349	243.700834347	0.0
0.6451	244.704464602	1.0
0.6554	245.71473301	0.0
0.6656	246.712032705	0.0
0.6758	247.706197454	0.0
0.6861	248.706937749	0.0
0.6963	249.694831643	0.0
0.7066	250.689259607	0.0
0.7168	251.670922202	0.0
0.727	252.649499003	0.0
0.7373	253.63454825	0.0
0.7475	254.606952521	0.0
0.7578	255.58578841	1.0
0.768	256.552059084	1.0
0.7782	257.515292349	1.0
0.7885	258.484896575	0.0
0.7987	259.44205409	0.0
0.809	260.405542381	0.0
0.8192	261.356662471	0.0
0.8294	262.304792777	1.0
0.8397	263.259194151	0.0
0.8499	264.201343972	0.0
0.8602	265.149725305	0.0
0.8704	266.085932365	0.0
0.8806	267.019196518	1.0
0.8909	267.958633412	0.0
0.9011	268.886010851	0.0
0.9114	269.819522095	0.0
0.9216	270.741049951	2.0
0.9318	271.659681045	0.0
0.9421	272.584388094	0.0
0.9523	273.497224773	2.0
0.9626	274.416099084	1.0
0.9728	275.323177899	0.0
0.983	276.22740537	0.0
0.9933	277.13761353	0.0
1.0035	278.036137441	0.0
1.0138	278.940604316	2.0
1.024	279.833460643	0.0
1.0342	280.723510333	0.0
1.0445	281.619446938	1.0
1.0547	282.503882497	0.0
1.065	283.394167838	0.0
1.0752	284.273024676	1.0
