TL-DOS Lehrstuhlversuch
detector=R1408305
job_number=2015-10-23-004
irradiation_dose [mSv]=4.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	192.537609361	0.0
0.0102	193.720248273	0.0
0.0205	194.910648942	1.0
0.0307	196.085708953	1.0
0.041	197.268480981	2.0
0.0512	198.436010661	2.0
0.0614	199.599811542	1.0
0.0717	200.771250543	2.0
0.0819	201.927593246	2.0
0.0922	203.091525122	0.0
0.1024	204.240457443	0.0
0.1126	205.38572036	1.0
0.1229	206.538499731	1.0
0.1331	207.67642327	3.0
0.1434	208.821815095	0.0
0.1536	209.952446291	0.0
0.1638	211.079466531	0.0
0.1741	212.213883498	3.0
0.1843	213.333681268	0.0
0.1946	214.460828364	0.0
0.2048	215.573449949	1.0
0.215	216.682518097	2.0
0.2253	217.798865151	0.0
0.2355	218.900825874	0.0
0.2458	220.010018857	0.0
0.256	221.104917704	0.0
0.2662	222.196319715	1.0
0.2765	223.294884688	0.0
0.2867	224.379292487	1.0
0.297	225.470817345	0.0
0.3072	226.548275755	1.0
0.3174	227.62229303	0.0
0.3277	228.703359169	0.0
0.3379	229.770493642	0.0
0.3482	230.844631807	0.0
0.3584	231.904927586	0.0
0.3686	232.961837043	0.0
0.3789	234.025683084	0.0
0.3891	235.075819374	0.0
0.3994	236.132847795	1.0
0.4096	237.176254324	0.0
0.4198	238.21632847	0.0
0.4301	239.263228709	1.0
0.4403	240.296637576	0.0
0.4506	241.336828792	0.0
0.4608	242.363615095	1.0
0.471	243.387122097	0.0
0.4813	244.41734646	0.0
0.4915	245.434294354	0.0
0.5018	246.45791656	0.0
0.512	247.468347378	0.0
0.5222	248.475551131	0.0
0.5325	249.489365245	0.0
0.5427	250.490114368	0.0
0.553	251.49743149	0.0
0.5632	252.491767347	0.0
0.5734	253.482927542	1.0
0.5837	254.480592803	0.0
0.5939	255.465401182	0.0
0.6042	256.456672941	0.0
0.6144	257.43517021	0.0
0.6246	258.410542401	0.0
0.6349	259.392316041	1.0
0.6451	260.361437594	0.0
0.6554	261.336919572	0.0
0.6656	262.299830544	0.0
0.6758	263.259666216	0.0
0.6861	264.22580137	0.0
0.6963	265.179485969	1.0
0.7066	266.139429679	1.0
0.7168	267.087002624	0.0
0.727	268.031549255	1.0
0.7373	268.982295025	0.0
0.7475	269.920788562	0.0
0.7578	270.865441511	0.0
0.768	271.797920745	0.0
0.7782	272.727421873	0.0
0.7885	273.663023393	0.0
0.7987	274.586567844	0.0
0.809	275.516173595	0.0
0.8192	276.433799544	0.0
0.8294	277.348494823	0.0
0.8397	278.269193324	0.0
0.8499	279.178026811	0.0
0.8602	280.092825047	0.0
0.8704	280.995834306	0.0
0.8806	281.895959578	0.0
0.8909	282.801992446	2.0
0.9011	283.696349296	0.0
0.9114	284.596575885	0.0
0.9216	285.48520128	0.0
0.9318	286.370988627	0.0
0.9421	287.262589469	0.0
0.9523	288.142700278	0.0
0.9626	289.028587327	0.0
0.9728	289.903057977	0.0
0.983	290.774735784	1.0
0.9933	291.652134485	0.0
1.0035	292.518226176	0.0
1.0138	293.390002098	0.0
1.024	294.250543471	1.0
1.0342	295.108336487	0.0
1.0445	295.97175927	0.0
1.0547	296.82405515	1.0
1.065	297.681944719	1.0
1.0752	298.52877869	0.0
1.0854	299.372908084	0.0
1.0957	300.222577569	0.0
1.1059	301.061297389	0.0
1.1162	301.905521797	0.0
1.1264	302.738866711	0.0
1.1366	303.569550127	0.0
1.1469	304.405685388	0.0
1.1571	305.231045399	1.0
1.1674	306.061822316	0.0
1.1776	306.881893036	0.0
1.1878	307.699344654	2.0
1.1981	308.522161274	1.0
1.2083	309.334374281	0.0
1.2186	310.15191791	1.0
1.2288	310.958925879	3.0
1.239	311.763356464	0.0
1.2493	312.573066594	0.0
1.2595	313.372342014	0.0
1.2698	314.176863145	0.0
1.28	314.971016437	0.0
1.2902	315.7626334	1.0
1.3005	316.55944581	1.0
1.3107	317.345989724	2.0
1.321	318.13769579	0.0
1.3312	318.919199164	0.0
1.3414	319.69820661	2.0
1.3517	320.482326746	0.0
1.3619	321.25634195	0.0
1.3722	322.03543708	1.0
1.3824	322.804492035	2.0
1.3926	323.571090819	2.0
1.4029	324.342720854	1.0
1.4131	325.104406916	1.0
1.4234	325.871091987	3.0
1.4336	326.627896811	1.0
1.4438	327.382284588	3.0
1.4541	328.141623475	4.0
1.4643	328.891176784	2.0
1.4746	329.645649473	4.0
1.4848	330.390399296	3.0
1.495	331.132770573	2.0
1.5053	331.880014094	1.0
1.5155	332.61762791	6.0
1.5258	333.360082747	1.0
1.536	334.092969591	4.0
1.5462	334.823515777	7.0
1.5565	335.558856597	9.0
1.5667	336.284721102	3.0
1.577	337.015349517	7.0
1.5872	337.736562345	6.0
1.5974	338.455471798	8.0
1.6077	339.179099514	8.0
1.6179	339.893401861	8.0
1.6282	340.612392233	9.0
1.6384	341.322116999	5.0
1.6486	342.029575079	2.0
1.6589	342.741676266	11.0
1.6691	343.444600626	7.0
1.6794	344.152138337	8.0
1.6896	344.850558031	12.0
1.6998	345.546747146	10.0
1.7101	346.247505407	13.0
1.7203	346.939233018	16.0
1.7306	347.635500495	13.0
1.7408	348.322795194	11.0
1.751	349.007894844	14.0
1.7613	349.69749086	9.0
1.7715	350.378200073	14.0
1.7818	351.063376837	15.0
1.792	351.739723748	13.0
1.8022	352.413910575	16.0
1.8125	353.092522147	15.0
1.8227	353.762388471	24.0
1.833	354.436651184	16.0
1.8432	355.102224694	30.0
1.8534	355.765672527	32.0
1.8637	356.433474623	20.0
1.8739	357.092670774	30.0
1.8842	357.756193283	31.0
1.8944	358.411164998	42.0
1.9046	359.064044896	34.0
1.9149	359.721209699	35.0
1.9251	360.369905639	35.0
1.9354	361.022859024	39.0
1.9456	361.667397819	39.0
1.9558	362.309878116	43.0
1.9661	362.956575066	43.0
1.9763	363.594938051	46.0
1.9866	364.237490665	53.0
1.9968	364.871762723	51.0
2.007	365.504009073	65.0
2.0173	366.140404909	71.0
2.0275	366.768599531	64.0
2.0378	367.400917046	73.0
2.048	368.025085905	68.0
2.0582	368.647261323	87.0
2.0685	369.27352013	85.0
2.0787	369.891708358	90.0
2.089	370.513953808	83.0
2.0992	371.128180399	92.0
2.1094	371.740445302	119.0
2.1197	372.356728551	111.0
2.1299	372.965069776	103.0
2.1402	373.577403595	128.0
2.1504	374.181846287	121.0
2.1606	374.784358539	140.0
2.1709	375.390825128	128.0
2.1811	375.989476201	128.0
2.1914	376.592056271	114.0
2.2016	377.18687091	149.0
2.2118	377.779785858	170.0
2.2221	378.376592156	165.0
2.2323	378.965707429	195.0
2.2426	379.558689115	170.0
2.2528	380.144029064	188.0
2.263	380.727499582	238.0
2.2733	381.314799465	223.0
2.2835	381.894530833	241.0
2.2938	382.478067026	227.0
2.304	383.054083205	263.0
2.3142	383.628259732	248.0
2.3245	384.206204626	272.0
2.3347	384.776701563	250.0
2.345	385.350942718	272.0
2.3552	385.917783645	352.0
2.3654	386.482814222	299.0
2.3757	387.051553142	294.0
2.3859	387.61296274	309.0
2.3962	388.178056917	333.0
2.4064	388.735868742	338.0
2.4166	389.291899054	359.0
2.4269	389.851578639	363.0
2.4371	390.404045651	399.0
2.4474	390.960138549	394.0
2.4576	391.509065095	401.0
2.4678	392.056238505	457.0
2.4781	392.60700306	466.0
2.4883	393.150669929	492.0
2.4986	393.697904929	505.0
2.5088	394.238087728	495.0
2.519	394.776545316	520.0
2.5293	395.318536847	476.0
2.5395	395.853543749	525.0
2.5498	396.392061946	503.0
2.56	396.923640275	537.0
2.5702	397.453520875	566.0
2.5805	397.986879125	547.0
2.5907	398.513364004	602.0
2.601	399.043304246	571.0
2.6112	399.566415165	591.0
2.6214	400.087855397	598.0
2.6317	400.612717884	574.0
2.6419	401.130816485	618.0
2.6522	401.65231541	623.0
2.6624	402.167093793	634.0
2.6726	402.680228103	646.0
2.6829	403.196730155	623.0
2.6931	403.706576061	630.0
2.7034	404.219768128	620.0
2.7136	404.726346704	660.0
2.7238	405.231307394	624.0
2.7341	405.739582183	635.0
2.7443	406.24130685	698.0
2.7546	406.746324377	606.0
2.7648	407.244833759	616.0
2.775	407.741751026	604.0
2.7853	408.241929602	548.0
2.7955	408.735662391	600.0
2.8058	409.23263559	587.0
2.816	409.723204311	533.0
2.8262	410.212206276	528.0
2.8365	410.704417602	532.0
2.8467	411.190285816	554.0
2.857	411.679342823	510.0
2.8672	412.162097367	519.0
2.8774	412.643310113	492.0
2.8877	413.127681097	504.0
2.8979	413.605810008	462.0
2.9082	414.087076919	469.0
2.9184	414.562141757	411.0
2.9286	415.035689356	411.0
2.9389	415.512344887	396.0
2.9491	415.982857773	380.0
2.9594	416.456458674	366.0
2.9696	416.923956294	374.0
2.9798	417.389960843	378.0
2.9901	417.859023818	371.0
3.0003	418.322041993	352.0
3.0106	418.788098995	391.0
3.0208	419.248149934	347.0
3.031	419.706731585	318.0
3.0413	420.168322945	324.0
3.0515	420.623965791	305.0
3.0618	421.082599059	317.0
3.072	421.535321934	349.0
3.0822	421.986598924	287.0
3.0925	422.440837683	322.0
3.1027	422.88922268	339.0
3.113	423.340550466	338.0
3.1232	423.786062004	308.0
3.1334	424.230150688	327.0
3.1437	424.677153963	331.0
3.1539	425.118396721	321.0
3.1642	425.562535392	317.0
3.1744	426.00095046	325.0
3.1846	426.43796534	314.0
3.1949	426.877848385	351.0
3.2051	427.31206267	350.0
3.2154	427.74912674	363.0
3.2256	428.180558378	345.0
3.2358	428.610612131	398.0
3.2461	429.043488362	338.0
3.2563	429.47078613	379.0
3.2666	429.900888289	410.0
3.2768	430.325447734	403.0
3.287	430.748651242	415.0
3.2973	431.174632269	404.0
3.3075	431.595123692	479.0
3.3178	432.018374835	452.0
3.328	432.436171553	431.0
3.3382	432.852633932	415.0
3.3485	433.271829588	506.0
3.3587	433.685623083	462.0
3.369	434.102132339	501.0
3.3792	434.513274052	453.0
3.3894	434.923102681	468.0
3.3997	435.335621049	516.0
3.4099	435.742823305	477.0
3.4202	436.152698063	508.0
3.4304	436.557290778	548.0
3.4406	436.960591324	523.0
3.4509	437.366538765	576.0
3.4611	437.767254774	558.0
3.4714	438.170600715	541.0
3.4816	438.568748749	579.0
3.4918	438.965625196	574.0
3.5021	439.365106377	567.0
