TL-DOS Lehrstuhlversuch
detector=R1407202
job_number=2015-10-21-010
irradiation_dose [mSv]=5.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	128.908934517	0.0
0.0102	130.696368912	0.0
0.0205	132.493602418	0.0
0.0307	134.265769981	0.0
0.041	136.047652959	0.0
0.0512	137.804684087	2.0
0.0614	139.554232152	2.0
0.0717	141.313371626	1.0
0.0819	143.047976453	1.0
0.0922	144.792090767	1.0
0.1024	146.51187999	0.0
0.1126	148.22434476	2.0
0.1229	149.94619764	1.0
0.1331	151.644035909	0.0
0.1434	153.351182101	1.0
0.1536	155.034518796	1.0
0.1638	156.710686286	2.0
0.1741	158.396042896	0.0
0.1843	160.057893907	3.0
0.1946	161.728855552	0.0
0.2048	163.376512363	1.0
0.215	165.017151927	0.0
0.2253	166.66678584	0.0
0.2355	168.293412376	1.0
0.2458	169.928956439	0.0
0.256	171.541689635	2.0
0.2662	173.147554321	2.0
0.2765	174.762222712	0.0
0.2867	176.35437139	0.0
0.297	177.955248578	0.0
0.3072	179.533798397	0.0
0.3174	181.105625291	0.0
0.3277	182.686069287	0.0
0.3379	184.244470896	0.0
0.3482	185.811416006	0.0
0.3584	187.356506997	0.0
0.3686	188.895017562	0.0
0.3789	190.441962581	0.0
0.3891	191.967332421	0.0
0.3994	193.501064675	0.0
0.4096	195.013406029	0.0
0.4198	196.519306434	0.0
0.4301	198.033462518	0.0
0.4403	199.526500729	0.0
0.4506	201.027724105	1.0
0.4608	202.50800998	0.0
0.471	203.981991429	0.0
0.4813	205.464053569	0.0
0.4915	206.92544545	0.0
0.5018	208.394849003	0.0
0.512	209.843758846	0.0
0.5222	211.28649789	0.0
0.5325	212.737146348	1.0
0.5427	214.167562671	0.0
0.553	215.605820853	0.0
0.5632	217.024019707	0.0
0.5734	218.436178558	0.0
0.5837	219.856079175	0.0
0.5939	221.256176497	1.0
0.6042	222.663949462	0.0
0.6144	224.052088275	0.0
0.6246	225.434315109	0.0
0.6349	226.824119615	0.0
0.6451	228.194540575	0.0
0.6554	229.572474485	0.0
0.6656	230.931190408	0.0
0.6758	232.284119661	0.0
0.6861	233.644465971	0.0
0.6963	234.985839587	0.0
0.7066	236.334566909	0.0
0.7168	237.664483587	0.0
0.727	238.988736249	0.0
0.7373	240.320248757	0.0
0.7475	241.633190714	0.0
0.7578	242.953330509	0.0
0.768	244.255058369	0.0
0.7782	245.551242267	0.0
0.7885	246.854532131	0.0
0.7987	248.139645066	1.0
0.809	249.431803273	0.0
0.8192	250.705939802	0.0
0.8294	251.97464988	1.0
0.8397	253.250315306	0.0
0.8499	254.508189079	2.0
0.8602	255.772958794	0.0
0.8704	257.020088817	2.0
0.8806	258.261907407	1.0
0.8909	259.510533921	0.0
0.9011	260.741745892	0.0
0.9114	261.979707639	0.0
0.9216	263.200403584	0.0
0.9318	264.415900676	0.0
