TL-DOS Lehrstuhlversuch
detector=R1408203
job_number=2015-10-26-006
irradiation_dose [mSv]=0.5

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	112.04881373	0.0
0.0102	114.105587822	0.0
0.0205	116.17265471	1.0
0.0307	118.209923562	1.0
0.041	120.2573876	1.0
0.0512	122.27533619	1.0
0.0614	124.283740141	0.0
0.0717	126.302194828	0.0
0.0819	128.291552254	0.0
0.0922	130.290865101	3.0
0.1024	132.261356628	3.0
0.1126	134.222527982	1.0
0.1229	136.193513705	4.0
0.1331	138.13608646	0.0
0.1434	140.08838051	1.0
0.1536	142.012531045	2.0
0.1638	143.927580595	0.0
0.1741	145.852213703	0.0
0.1843	147.749102046	0.0
0.1946	149.655483062	1.0
0.2048	151.534382428	0.0
0.215	153.404394841	0.0
0.2253	155.283765432	0.0
0.2355	157.136043744	0.0
0.2458	158.997591486	0.0
0.256	160.832303877	0.0
0.2662	162.658338313	0.0
0.2765	164.493510847	1.0
0.2867	166.302228243	0.0
0.297	168.119997077	0.0
0.3072	169.911561658	0.0
0.3174	171.694652369	1.0
0.3277	173.486666272	0.0
0.3379	175.252847196	0.0
0.3482	177.02786669	0.0
0.3584	178.777298191	1.0
0.3686	180.518455104	0.0
0.3789	182.268325359	2.0
0.3891	183.992970161	0.0
0.3994	185.726245672	0.0
0.4096	187.434534955	0.0
0.4198	189.134744248	2.0
0.4301	190.843461967	0.0
0.4403	192.527547472	0.0
0.4506	194.220060714	0.0
0.4608	195.88817534	0.0
0.471	197.548399998	0.0
0.4813	199.216932985	0.0
0.4915	200.861413046	0.0
0.5018	202.514122644	0.0
0.512	204.14300742	0.0
0.5222	205.764187781	0.0
0.5325	207.393481078	0.0
0.5427	208.999287115	0.0
0.553	210.613129151	0.0
0.5632	212.203706665	0.0
0.5734	213.786760951	0.0
0.5837	215.377737379	0.0
0.5939	216.945778906	0.0
0.6042	218.521667447	1.0
0.6144	220.074838588	1.0
0.6246	221.620663429	0.0
0.6349	223.174224103	0.0
0.6451	224.705389248	0.0
0.6554	226.244216864	0.0
0.6656	227.760861337	0.0
0.6758	229.270332275	0.0
0.6861	230.78735712	0.0
0.6963	232.282513121	0.0
0.7066	233.785151391	1.0
0.7168	235.26612821	0.0
0.727	236.740100199	0.0
0.7373	238.221448444	1.0
0.7475	239.681442147	1.0
0.7578	241.148742154	0.0
0.768	242.594890132	0.0
0.7782	244.034198016	1.0
0.7885	245.480708686	0.0
0.7987	246.906367018	0.0
0.809	248.339159829	1.0
0.8192	249.751298054	0.0
0.8294	251.156757046	0.0
0.8397	252.569249432	1.0
0.8499	253.961379875	0.0
0.8602	255.360477012	0.0
0.8704	256.739405306	0.0
0.8806	258.111811447	0.0
0.8909	259.491085574	0.0
