TL-DOS Lehrstuhlversuch
detector=R1407205
job_number=2015-11-19-010
irradiation_dose [mSv]=5.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	112.38978029	0.0
0.0102	114.329471393	0.0
0.0205	116.279377006	1.0
0.0307	118.201673992	1.0
0.041	120.13409389	1.0
0.0512	122.039152741	0.0
0.0614	123.935692246	1.0
0.0717	125.842219022	0.0
0.0819	127.721751371	0.0
0.0922	129.61118143	2.0
0.1024	131.473859133	2.0
0.1126	133.328207018	2.0
0.1229	135.192319991	0.0
0.1331	137.030039071	0.0
0.1434	138.877435671	2.0
0.1536	140.698675065	1.0
0.1638	142.51176995	0.0
0.1741	144.334412684	2.0
0.1843	146.1312487	1.0
0.1946	147.937546945	0.0
0.2048	149.718269892	0.0
0.215	151.491029519	2.0
0.2253	153.273124587	2.0
0.2355	155.02998705	0.0
0.2458	156.796101238	0.0
0.256	158.537209093	0.0
0.2662	160.270530786	1.0
0.2765	162.012980237	1.0
0.2867	163.730758423	1.0
0.297	165.457582515	1.0
0.3072	167.159956581	0.0
0.3174	168.8547177	0.0
0.3277	170.558403515	2.0
0.3379	172.237966919	3.0
0.3482	173.926374987	1.0
0.3584	175.59087696	0.0
0.3686	177.247935349	1.0
0.3789	178.91371989	1.0
0.3891	180.555918661	0.0
0.3994	182.206765332	0.0
0.4096	183.834237739	3.0
0.4198	185.454432156	0.0
0.4301	187.083158597	3.0
0.4403	188.688823973	1.0
0.4506	190.302944863	2.0
0.4608	191.894211487	2.0
0.471	193.478362031	2.0
0.4813	195.070854792	0.0
0.4915	196.640799518	1.0
0.5018	198.219011651	1.0
0.512	199.774877948	0.0
0.5222	201.323786475	1.0
0.5325	202.880851632	0.0
0.5427	204.415870371	0.0
0.553	205.958972597	2.0
0.5632	207.480226106	2.0
0.5734	208.994676632	1.0
0.5837	210.517102329	3.0
0.5939	212.017972069	1.0
0.6042	213.526745464	1.0
0.6144	215.014156203	2.0
0.6246	216.494915302	1.0
0.6349	217.983472152	1.0
0.6451	219.450952592	0.0
0.6554	220.926160857	0.0
0.6656	222.380481713	2.0
0.6758	223.828298906	2.0
0.6861	225.283740377	0.0
0.6963	226.718574317	1.0
0.7066	228.160964163	1.0
0.7168	229.582931276	1.0
0.727	230.99853941	0.0
0.7373	232.421602207	1.0
0.7475	233.82451592	3.0
0.7578	235.234817448	0.0
0.768	236.625150578	3.0
0.7782	238.009266196	0.0
0.7885	239.400670635	1.0
0.7987	240.772374241	1.0
