TL-DOS Lehrstuhlversuch
detector=R1407403
job_number=2015-11-04-006
irradiation_dose [mSv]=0.07

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	95.450653614	0.0
0.0102	97.5258240657	0.0
0.0205	99.6116407334	0.0
0.0307	101.667646702	0.0
0.041	103.734200568	2.0
0.0512	105.771219041	2.0
0.0614	107.798855508	0.0
0.0717	109.836894329	4.0
0.0819	111.845805296	2.0
0.0922	113.865022549	2.0
0.1024	115.855380949	2.0
0.1126	117.836572248	1.0
0.1229	119.827927623	1.0
0.1331	121.79082235	2.0
0.1434	123.763787286	1.0
0.1536	125.708554412	0.0
0.1638	127.644364418	0.0
0.1741	129.590105682	3.0
0.1843	131.508038219	4.0
0.1946	133.435810297	0.0
0.2048	135.336030464	0.0
0.215	137.227498686	2.0
0.2253	139.128670678	2.0
0.2355	141.002670932	0.0
0.2458	142.886285341	0.0
0.256	144.742978947	0.0
0.2662	146.591121078	0.0
0.2765	148.448744706	0.0
0.2867	150.279818992	0.0
0.297	152.120287212	0.0
0.3072	153.934451277	0.0
0.3174	155.740259749	1.0
0.3277	157.555332533	0.0
0.3379	159.344464117	0.0
0.3482	161.142774456	0.0
0.3584	162.915383165	0.0
0.3686	164.679827675	0.0
0.3789	166.453324288	0.0
0.3891	168.201473912	0.0
0.3994	169.958592041	1.0
0.4096	171.690597264	0.0
0.4198	173.414625297	0.0
0.4301	175.147498086	0.0
0.4403	176.855604484	0.0
0.4506	178.572473956	1.0
0.4608	180.264805758	0.0
0.471	181.949343097	0.0
0.4813	183.642522593	0.0
0.4915	185.311502999	0.0
0.5018	186.98904575	1.0
0.512	188.642612895	0.0
0.5222	190.288564115	0.0
0.5325	191.942959535	0.0
0.5427	193.573710172	0.0
0.553	195.212827024	0.0
0.5632	196.828517455	0.0
0.5734	198.436766414	0.0
0.5837	200.053266148	2.0
0.5939	201.646662708	0.0
0.6042	203.248233847	0.0
0.6144	204.826915172	1.0
0.6246	206.398325479	0.0
0.6349	207.97779757	0.0
0.6451	209.534695688	0.0
0.6554	211.099581137	1.0
0.6656	212.642101089	2.0
0.6758	214.177516573	0.0
0.6861	215.720809177	0.0
0.6963	217.242044889	0.0
0.7066	218.771084974	0.0
0.7168	220.278271867	0.0
0.727	221.778517028	0.0
0.7373	223.286458874	0.0
0.7475	224.772849066	0.0
0.7578	226.266864863	0.0
0.768	227.739528038	0.0
0.7782	229.205408489	0.0
0.7885	230.678809325	0.0
0.7987	232.131152169	0.0
0.809	233.590945947	0.0
0.8192	235.029876207	0.0
0.8294	236.462179108	0.0
0.8397	237.901830132	0.0
0.8499	239.32090552	0.0
0.8602	240.74726117	0.0
0.8704	242.153231203	0.0
0.8806	243.552725685	0.0
0.8909	244.959399972	0.0
0.9011	246.34596993	0.0
0.9114	247.739653388	0.0
0.9216	249.113418183	1.0
0.9318	250.480855756	0.0
0.9421	251.855308674	0.0
0.9523	253.210117774	0.0
0.9626	254.571877431	0.0
0.9728	255.914174683	0.0
0.983	257.250289646	0.0
0.9933	258.593259258	0.0
1.0035	259.917035016	0.0
1.0138	261.247602121	0.0
1.024	262.559152629	0.0
1.0342	263.864662457	1.0
1.0445	265.176869924	0.0
1.0547	266.470323191	0.0
1.065	267.770412242	0.0
1.0752	269.051920292	0.0
1.0854	270.327526031	0.0
1.0957	271.609675991	0.0
1.1059	272.873501336	0.0
1.1162	274.143810466	0.0
1.1264	275.395964212	0.0
1.1366	276.642350846	0.0
1.1469	277.895131798	0.0
1.1571	279.130007881	2.0
1.1674	280.37121923	0.0
1.1776	281.594691064	0.0
1.1878	282.812527887	0.0
1.1981	284.03661256	0.0
1.2083	285.243202494	1.0
1.2186	286.455982578	1.0
1.2288	287.651429489	0.0
1.239	288.841370466	1.0
1.2493	290.037416179	0.0
1.2595	291.216367888	0.0
1.2698	292.401367955	0.0
1.28	293.569431884	0.0
1.2902	294.732115998	0.0
1.3005	295.900765013	0.0
1.3107	297.05271158	0.0
1.321	298.210567962	0.0
1.3312	299.351876145	0.0
1.3414	300.487927744	0.0
1.3517	301.629807611	1.0
1.3619	302.755367618	0.0
