TL-DOS Lehrstuhlversuch
detector=R1406805
job_number=2015-11-05-008
irradiation_dose [mSv]=0.07

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	175.143208864	0.0
0.0102	176.486042642	0.0
0.0205	177.837238233	0.0
0.0307	179.170575648	1.0
0.041	180.512215742	1.0
0.0512	181.836123953	1.0
0.0614	183.155365432	1.0
0.0717	184.482821814	2.0
0.0819	185.792733773	1.0
0.0922	187.11080254	5.0
0.1024	188.411450956	0.0
0.1126	189.70751463	0.0
0.1229	191.011648879	0.0
0.1331	192.298546944	0.0
0.1434	193.593458509	1.0
0.1536	194.871255782	3.0
0.1638	196.144548863	2.0
0.1741	197.425770727	1.0
0.1843	198.690059229	0.0
0.1946	199.962220442	0.0
0.2048	201.217568045	1.0
0.215	202.46849059	0.0
0.2253	203.727202617	0.0
0.2355	204.969278785	1.0
0.2458	206.219089349	0.0
0.256	207.452381701	0.0
0.2662	208.681326739	0.0
0.2765	209.917924405	1.0
0.2867	211.138178489	0.0
0.297	212.366031082	0.0
0.3072	213.577655672	0.0
0.3174	214.785009327	0.0
0.3277	215.99988116	0.0
0.3379	217.198696552	0.0
0.3482	218.404976955	1.0
0.3584	219.595314466	1.0
0.3686	220.781456077	0.0
0.3789	221.97498378	0.0
0.3891	223.152737138	1.0
0.3994	224.337824353	1.0
0.4096	225.507248778	0.0
0.4198	226.672551021	0.0
0.4301	227.845109589	0.0
0.4403	229.002170952	0.0
0.4506	230.166437324	0.0
0.4608	231.315316086	0.0
0.471	232.460145088	0.0
0.4813	233.612102929	0.0
0.4915	234.748835836	0.0
0.5018	235.892647166	0.0
0.512	237.021341232	0.0
0.5222	238.146056689	1.0
0.5325	239.277775738	0.0
0.5427	240.39453734	1.0
0.553	241.518253005	0.0
0.5632	242.627117	0.0
0.5734	243.732072288	0.0
0.5837	244.84390812	0.0
0.5939	245.941049294	0.0
0.6042	247.045022354	0.0
0.6144	248.134404675	0.0
0.6246	249.21994696	0.0
0.6349	250.312248906	0.0
0.6451	251.390114363	0.0
0.6554	252.474691678	1.0
0.6656	253.544934598	1.0
0.6758	254.611404948	1.0
0.6861	255.684516198	0.0
0.6963	256.743444596	0.0
0.7066	257.80896693	0.0
0.7168	258.86040671	0.0
0.727	259.908140201	0.0
0.7373	260.962397918	0.0
0.7475	262.002721961	0.0
0.7578	263.049524091	0.0
0.768	264.082491085	0.0
0.7782	265.111816906	1.0
0.7885	266.147552327	0.0
0.7987	267.169598877	0.0
0.809	268.198009699	0.0
0.8192	269.212828456	0.0
0.8294	270.224070011	0.0
0.8397	271.241608557	0.0
0.8499	272.245698731	0.0
0.8602	273.256041363	0.0
0.8704	274.25303073	1.0
0.8806	275.246505743	0.0
0.8909	276.246167114	0.0
0.9011	277.232616388	1.0
0.9114	278.225208272	0.0
0.9216	279.204681493	1.0
0.9318	280.180702105	0.0
0.9421	281.162800386	0.0
0.9523	282.131918695	0.0
0.9626	283.107071693	0.0
0.9728	284.069336511	0.0
0.983	285.028209378	0.0
0.9933	285.993053137	1.0
1.0035	286.945144968	0.0
1.0138	287.903165465	0.0
1.024	288.848524215	0.0
1.0342	289.790550608	0.0
1.0445	290.738442989	0.0
1.0547	291.673807482	0.0
1.065	292.614996479	0.0
1.0752	293.543746184	0.0
1.0854	294.469222078	0.0
1.0957	295.400460901	0.0
1.1059	296.319391939	1.0
1.1162	297.24404515	0.0
1.1264	298.156477616	0.0
1.1366	299.065693788	0.0
1.1469	299.980571639	0.0
1.1571	300.883357941	0.0
1.1674	301.791765885	0.0
1.1776	302.688167788	1.0
1.1878	303.581409906	0.0
