TL-DOS Lehrstuhlversuch
detector=R1407501
job_number=2015-10-21-012
irradiation_dose [mSv]=5.0

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	135.288842432	0.0
0.0102	136.981745096	0.0
0.0205	138.684243791	0.0
0.0307	140.363308637	2.0
0.041	142.051891074	1.0
0.0512	143.717231211	2.0
0.0614	145.375784323	1.0
0.0717	147.043738758	2.0
0.0819	148.688734825	2.0
0.0922	150.343055368	1.0
0.1024	151.974605205	1.0
0.1126	153.599505728	1.0
0.1229	155.233616818	3.0
0.1331	156.845235372	1.0
0.1434	158.465989207	0.0
0.1536	160.06443436	2.0
0.1638	161.656365115	0.0
0.1741	163.257319553	0.0
0.1843	164.836237835	1.0
0.1946	166.42410604	0.0
0.2048	167.990118214	0.0
0.215	169.54974817	0.0
0.2253	171.118218715	2.0
0.2355	172.665100225	0.0
0.2458	174.220750061	0.0
0.256	175.754987332	0.0
0.2662	177.282971882	0.0
0.2765	178.819617642	0.0
0.2867	180.335112417	0.0
0.297	181.859197605	1.0
0.3072	183.362304696	0.0
0.3174	184.859285936	1.0
0.3277	186.364752647	0.0
0.3379	187.849497533	0.0
0.3482	189.342658531	0.0
0.3584	190.815267084	0.0
0.3686	192.281874081	0.0
0.3789	193.756794376	0.0
0.3891	195.2114133	0.0
0.3994	196.674277568	0.0
0.4096	198.117006408	0.0
0.4198	199.553855466	0.0
0.4301	200.998849143	0.0
0.4403	202.423953369	0.0
0.4506	203.857135639	0.0
0.4608	205.270591036	0.0
0.471	206.678285953	0.0
0.4813	208.093960232	0.0
0.4915	209.490148623	0.0
0.5018	210.894251153	0.0
0.512	212.279027074	0.0
0.5222	213.658159397	0.0
0.5325	215.045109178	0.0
0.5427	216.412968447	1.0
0.553	217.788581274	0.0
0.5632	219.145259635	0.0
0.5734	220.496408909	0.0
0.5837	221.855217022	1.0
0.5939	223.195321975	0.0
0.6042	224.543023164	0.0
0.6144	225.872174074	0.0
0.6246	227.195908084	0.0
0.6349	228.527145533	0.0
0.6451	229.840059315	1.0
0.6554	231.160415203	0.0
0.6656	232.462597203	1.0
0.6758	233.759472214	0.0
0.6861	235.063698416	1.0
0.6963	236.349972745	0.0
0.7066	237.643538177	0.0
0.7168	238.919298475	0.0
