TL-DOS Lehrstuhlversuch
detector=R1408303
job_number=2015-10-30-003
irradiation_dose [mSv]=0.2

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	189.159331868	0.0
0.0102	190.409262255	0.0
0.0205	191.667314926	0.0
0.0307	192.909075046	1.0
0.041	194.158904357	1.0
0.0512	195.392547616	1.0
0.0614	196.622172029	1.0
0.0717	197.859786774	1.0
0.0819	199.081373652	0.0
0.0922	200.310898632	0.0
0.1024	201.524500512	0.0
0.1126	202.734148836	0.0
0.1229	203.951657684	0.0
0.1331	205.153399048	1.0
0.1434	206.362949553	1.0
0.1536	207.556835642	0.0
0.1638	208.746832402	0.0
0.1741	209.944561985	1.0
0.1843	211.126780239	1.0
0.1946	212.31668077	0.0
0.2048	213.491171363	0.0
0.215	214.661835812	1.0
0.2253	215.84010746	2.0
0.2355	217.00311977	0.0
0.2458	218.173689553	0.0
0.256	219.329099743	0.0
0.2662	220.480745948	0.0
0.2765	221.639875767	0.0
0.2867	222.783994147	0.0
0.297	223.935547224	0.0
0.3072	225.072186986	0.0
0.3174	226.205123911	0.0
0.3277	227.345422874	0.0
0.3379	228.470954269	0.0
0.3482	229.603799579	1.0
0.3584	230.72197385	0.0
0.3686	231.83650544	0.0
0.3789	232.958279467	0.0
0.3891	234.065525834	0.0
0.3994	235.179967298	0.0
0.4096	236.279976064	0.0
0.4198	237.376401326	1.0
0.4301	238.479951367	0.0
0.4403	239.569209761	0.0
0.4506	240.665546361	1.0
0.4608	241.747684732	0.0
0.471	242.826297816	0.0
0.4813	243.911919932	0.0
0.4915	244.983482579	0.0
0.5018	246.062008441	0.0
0.512	247.126566735	0.0
0.5222	248.187657012	0.0
0.5325	249.255642455	0.0
0.5427	250.309796833	0.0
0.553	251.370801306	2.0
0.5632	252.418065122	0.0
0.5734	253.461917263	0.0
0.5837	254.512552551	0.0
0.5939	255.549581471	0.0
0.6042	256.593349201	0.0
0.6144	257.6235995	0.0
0.6246	258.650493549	0.0
0.6349	259.684060549	0.0
0.6451	260.704242226	0.0
0.6554	261.731053235	0.0
0.6656	262.744566414	0.0
0.6758	263.754777867	0.0
0.6861	264.771553865	0.0
0.6963	265.775161992	0.0
0.7066	266.785291754	0.0
0.7168	267.782339719	0.0
0.727	268.776139597	0.0
0.7373	269.776397373	1.0
0.7475	270.7637012	0.0
0.7578	271.757420714	0.0
0.768	272.738270953	0.0
0.7782	273.715925872	0.0
0.7885	274.699933777	0.0
0.7987	275.671198178	0.0
0.809	276.648774039	0.0
0.8192	277.613689695	0.0
0.8294	278.575461942	0.0
0.8397	279.543483966	0.0
0.8499	280.498969513	0.0
0.8602	281.460663985	0.0
0.8704	282.409903927	1.0
0.8806	283.356051526	1.0
0.8909	284.30834737	0.0
0.9011	285.248310402	0.0
0.9114	286.19438149	0.0
0.9216	287.12820038	1.0
0.9318	288.058977164	0.0
0.9421	288.995802311	0.0
0.9523	289.920495001	0.0
0.9626	290.851196517	0.0
0.9728	291.769844881	0.0
0.983	292.68550056	0.0
0.9933	293.607106342	2.0
1.0035	294.516776767	1.0
1.0138	295.432358401	1.0
1.024	296.336082694	0.0
1.0342	297.236862921	0.0
1.0445	298.143496587	0.0
1.0547	299.038388793	0.0
1.065	299.939096178	0.0
1.0752	300.828138852	0.0
1.0854	301.714285288	0.0
1.0957	302.60619007	0.0
1.1059	303.486544141	0.0
1.1162	304.372618919	0.0
1.1264	305.247218487	0.0
1.1366	306.118968868	1.0
1.1469	306.996384047	0.0
1.1571	307.862436164	0.0
1.1674	308.734116051	0.0
1.1776	309.594507151	0.0
1.1878	310.452095352	0.0
1.1981	311.315256322	0.0
1.2083	312.16723883	0.0
1.2186	313.024757681	0.0
1.2288	313.87117114	1.0
1.239	314.714827233	0.0
1.2493	315.563965563	0.0
1.2595	316.402107033	1.0
1.2698	317.245694905	0.0
1.28	318.078357798	0.0
1.2902	318.908308121	0.0
1.3005	319.743651619	2.0
1.3107	320.568176907	1.0
1.321	321.398060117	0.0
1.3312	322.217195832	0.0
1.3414	323.033663045	1.0
1.3517	323.855435816	0.0
1.3619	324.666566128	1.0
1.3722	325.482967318	2.0
1.3824	326.288795613	0.0
1.3926	327.091998758	1.0
1.4029	327.900421269	1.0
1.4131	328.698374214	0.0
1.4234	329.501512408	0.0
1.4336	330.294249472	1.0
1.4438	331.084404033	0.0
1.4541	331.879693167	0.0
1.4643	332.664682822	2.0
1.4746	333.454773487	0.0
1.4848	334.234631995	0.0
1.495	335.011949955	1.0
1.5053	335.794319073	4.0
1.5155	336.566556034	1.0
1.5258	337.343811136	2.0
1.536	338.11100031	3.0
1.5462	338.875690208	2.0
1.5565	339.645349205	2.0
1.5667	340.405040648	2.0
1.577	341.16966871	1.0
1.5872	341.924394371	2.0
1.5974	342.676661359	2.0
1.6077	343.43381672	3.0
1.6179	344.181166456	4.0
1.6282	344.933372612	2.0
1.6384	345.675837239	5.0
1.6486	346.415883135	3.0
1.6589	347.160737989	3.0
1.6691	347.895946518	3.0
1.6794	348.635932571	2.0
1.6896	349.366335352	3.0
1.6998	350.094358697	4.0
1.7101	350.827112875	2.0
1.7203	351.550377439	1.0
1.7306	352.278341912	3.0
1.7408	352.996878801	2.0
1.751	353.713074909	3.0
1.7613	354.433924994	3.0
1.7715	355.145439631	6.0
1.7818	355.861577824	4.0
1.792	356.568441589	9.0
1.8022	357.273002602	5.0
1.8125	357.982141985	8.0
1.8227	358.68209758	4.0
1.833	359.386601618	3.0
1.8432	360.081981898	4.0
1.8534	360.775096836	4.0
1.8637	361.472715765	5.0
1.8739	362.161300102	5.0
1.8842	362.854358991	5.0
1.8944	363.538442343	8.0
1.9046	364.220297154	5.0
1.9149	364.906582787	6.0
1.9251	365.583980601	5.0
1.9354	366.265780274	4.0
1.9456	366.938750225	10.0
1.9558	367.609527839	5.0
1.9661	368.284664292	11.0
1.9763	368.951057315	9.0
1.9866	369.621780687	8.0
1.9968	370.28381778	6.0
2.007	370.943698153	16.0
2.0173	371.607866553	5.0
2.0275	372.263433567	7.0
2.0378	372.923260578	3.0
2.048	373.574542427	7.0
2.0582	374.223702592	6.0
2.0685	374.877081122	10.0
2.0787	375.521998001	15.0
2.089	376.171105671	6.0
2.0992	376.811807001	11.0
2.1094	377.450421116	13.0
2.1197	378.093185065	8.0
2.1299	378.727624828	13.0
2.1402	379.366187301	9.0
2.1504	379.99648	13.0
2.1606	380.624719391	11.0
2.1709	381.2570412	16.0
2.1811	381.881174056	15.0
2.1914	382.509362645	12.0
2.2016	383.129415808	17.0
2.2118	383.747449021	13.0
2.2221	384.36949833	12.0
2.2323	384.983491721	14.0
2.2426	385.601474957	21.0
2.2528	386.211454932	14.0
2.263	386.819447773	17.0
2.2733	387.431391466	21.0
2.2835	388.035410115	16.0
2.2938	388.64335379	21.0
2.304	389.243424224	17.0
2.3142	389.841539805	20.0
2.3245	390.443542055	23.0
2.3347	391.037748007	29.0
2.345	391.635815222	15.0
2.3552	392.226137101	29.0
2.3654	392.814535886	33.0
2.3757	393.406758198	29.0
2.3859	393.991310868	24.0
2.3962	394.579662072	21.0
2.4064	395.160393769	23.0
2.4166	395.739233613	25.0
2.4269	396.321834868	22.0
2.4371	396.896891081	27.0
2.4474	397.475684118	27.0
2.4576	398.046981431	28.0
2.4678	398.616417627	32.0
2.4781	399.189554126	30.0
2.4883	399.755268157	45.0
2.4986	400.324658305	36.0
2.5088	400.886674503	23.0
2.519	401.446859818	38.0
2.5293	402.010685323	40.0
2.5395	402.567208944	29.0
2.5498	403.127348959	27.0
2.56	403.68023482	38.0
2.5702	404.231319542	28.0
2.5805	404.785985316	31.0
2.5907	405.33346783	41.0
2.601	405.884507988	40.0
2.6112	406.428411839	28.0
2.6214	406.970543813	34.0
2.6317	407.516198663	34.0
2.6419	408.054786949	31.0
2.6522	408.596875083	23.0
2.6624	409.131942845	35.0
2.6726	409.665267514	29.0
2.6829	410.202057827	33.0
2.6931	410.731896378	21.0
2.7034	411.26517792	23.0
2.7136	411.79155314	22.0
2.7238	412.316213585	21.0
2.7341	412.844283373	26.0
2.7443	413.365514335	30.0
2.7546	413.890132353	24.0
2.7648	414.407956248	21.0
2.775	414.924093226	25.0
2.7853	415.443584159	18.0
2.7955	415.956347367	17.0
2.8058	416.472442607	19.0
2.816	416.981854099	16.0
2.8262	417.489606079	14.0
2.8365	418.000657526	24.0
2.8467	418.505090546	20.0
2.857	419.012801466	21.0
2.8672	419.51393722	21.0
2.8774	420.013440421	22.0
2.8877	420.516189489	15.0
2.8979	421.012427649	17.0
2.9082	421.511890458	22.0
2.9184	422.004884919	20.0
2.9286	422.496273349	15.0
2.9389	422.990854915	18.0
2.9491	423.479031346	22.0
2.9594	423.970380041	31.0
2.9696	424.45536547	24.0
2.9798	424.938770959	25.0
2.9901	425.425317709	21.0
3.0003	425.905563381	26.0
3.0106	426.38892978	17.0
3.0208	426.866036289	26.0
3.031	427.341588525	35.0
3.0413	427.82023099	21.0
3.0515	428.292674743	16.0
3.0618	428.768188525	27.0
3.072	429.237544112	17.0
3.0822	429.705370678	24.0
3.0925	430.176237269	29.0
3.1027	430.64100585	31.0
3.113	431.108794584	37.0
3.1232	431.57052517	29.0
3.1334	432.030751573	37.0
3.1437	432.493968614	30.0
3.1539	432.951186712	24.0
3.1642	433.411375899	30.0
3.1744	433.865605355	24.0
3.1846	434.318355066	30.0
3.1949	434.774046829	33.0
3.2051	435.223837106	35.0
3.2154	435.676550206	35.0
3.2256	436.123400393	31.0
3.2358	436.568794876	28.0
3.2461	437.017083615	37.0
3.2563	437.459566742	31.0
3.2666	437.904925207	39.0
3.2768	438.344516008	29.0
3.287	438.782674752	39.0
3.2973	439.223680735	30.0
3.3075	439.658975421	25.0
3.3178	440.097098733	26.0
3.328	440.529548081	36.0
3.3382	440.960588637	35.0
3.3485	441.394430176	28.0
3.3587	441.822653202	36.0
3.369	442.253658902	27.0
3.3792	442.679082814	44.0
3.3894	443.103120822	26.0
3.3997	443.529914308	48.0
3.4099	443.951180558	44.0
3.4202	444.375184276	39.0
3.4304	444.793696886	32.0
3.4406	445.210846106	36.0
3.4509	445.630706041	36.0
3.4611	446.045128533	49.0
3.4714	446.46224402	48.0
3.4816	446.873957607	43.0
3.4918	447.284329953	38.0
3.5021	447.697368975	36.0
3.5123	448.10505889	26.0
3.5226	448.515398052	35.0
3.5328	448.92042307	37.0
3.543	449.324128636	26.0
3.5533	449.730457558	43.0
3.5635	450.131524271	25.0
3.5738	450.535197192	27.0
3.584	450.933642302	27.0
