TL-DOS Lehrstuhlversuch
detector=R1407203
job_number=2015-10-30-003
irradiation_dose [mSv]=0.2

[BEGIN DATA]
time [sec] 	 temperature [K] 	 photoncount 
0.0	168.687825891	0.0
0.0102	170.048607975	0.0
0.0205	171.41802125	1.0
0.0307	172.769491128	5.0
0.041	174.129533131	0.0
0.0512	175.471754529	1.0
0.0614	176.809397851	1.0
0.0717	178.1555256	2.0
0.0819	179.484015061	0.0
0.0922	180.820930887	1.0
0.1024	182.14032913	2.0
0.1126	183.455227142	2.0
0.1229	184.778465311	0.0
0.1331	186.084365115	1.0
0.1434	187.398548002	2.0
0.1536	188.695511174	6.0
0.1638	189.988050639	1.0
0.1741	191.288788444	2.0
0.1843	192.572482705	2.0
0.1946	193.864319204	0.0
0.2048	195.139228793	2.0
0.215	196.409789894	3.0
0.2253	197.688409932	1.0
0.2355	198.950276234	1.0
0.2458	200.220146323	0.0
0.256	201.473377328	0.0
0.2662	202.722333786	0.0
0.2765	203.979212147	0.0
0.2867	205.219621653	0.0
0.297	206.46789885	0.0
0.3072	207.699819893	1.0
0.3174	208.927539075	0.0
0.3277	210.163045455	0.0
0.3379	211.382363017	0.0
0.3482	212.609414487	0.0
0.3584	213.820387924	1.0
0.3686	215.027230948	0.0
0.3789	216.241728757	0.0
0.3891	217.440313023	1.0
0.3994	218.646499689	0.0
0.4096	219.836881713	0.0
0.4198	221.023203558	0.0
0.4301	222.217050025	1.0
0.4403	223.395253543	0.0
0.4506	224.580930191	0.0
0.4608	225.751070939	0.0
0.471	226.917220547	0.0
0.4813	228.090766829	0.0
0.4915	229.248936154	0.0
0.5018	230.414451536	0.0
0.512	231.564695191	1.0
0.5222	232.711015572	0.0
0.5325	233.864606852	1.0
0.5427	235.003082647	0.0
0.553	236.148779586	0.0
0.5632	237.279464478	1.0
0.5734	238.406292807	0.0
0.5837	239.540268402	0.0
0.5939	240.659385536	0.0
0.6042	241.785601024	0.0
0.6144	242.897059731	1.0
0.6246	244.004727453	0.0
0.6349	245.119420907	0.0
0.6451	246.219508554	0.0
0.6554	247.326573855	1.0
0.6656	248.4191333	0.0
0.6758	249.50796622	0.0
0.6861	250.603705409	0.0
0.6963	251.685087146	1.0
0.7066	252.77332789	0.0
0.7168	253.847309436	1.0
0.727	254.917627823	1.0
0.7373	255.994735043	0.0
0.7475	257.057728948	0.0
0.7578	258.127465228	1.0
0.768	259.183184773	0.0
0.7782	260.235303448	0.0
0.7885	261.294095519	1.0
0.7987	262.339014257	1.0
0.809	263.390560723	0.0
0.8192	264.428328795	0.0
0.8294	265.462557226	1.0
0.8397	266.503345579	0.0
0.8499	267.530496501	0.0
0.8602	268.564162453	0.0
0.8704	269.584284299	1.0
0.8806	270.600926693	0.0
0.8909	271.624017463	0.0
0.9011	272.633702693	0.0
0.9114	273.649792172	0.0
0.9216	274.652567849	1.0
0.9318	275.651923238	0.0
0.9421	276.657617355	0.0
0.9523	277.650133881	0.0
0.9626	278.648945757	0.0
0.9728	279.634670219	1.0
0.983	280.617032552	2.0
0.9933	281.60562583	0.0
1.0035	282.581265588	1.0
1.0138	283.56309365	1.0
1.024	284.532056836	0.0
1.0342	285.497715064	1.0
1.0445	286.469498285	1.0
1.0547	287.428548247	0.0
1.065	288.393681288	0.0
1.0752	289.346168209	0.0
1.0854	290.295406367	0.0
1.0957	291.25066537	0.0
1.1059	292.19340763	0.0
1.1162	293.142129533	0.0
1.1264	294.07842035	1.0
1.1366	295.011517646	0.0
1.1469	295.950533408	1.0
1.1571	296.877245264	1.0
1.1674	297.809835083	0.0
1.1776	298.730205195	0.0
1.1878	299.647436089	0.0
1.1981	300.570484812	0.0
1.2083	301.481438843	0.0
1.2186	302.398170889	0.0
